concept,prop_s,label,prob,prob_control
woodpecker,-,pos,5.915994734095875e-06,1.1757822903746273e-05
millipede,-,pos,5.915994734095875e-06,1.1757822903746273e-05
peacock,-,neg,7.556771379313432e-06,3.0437427085416857e-06
dogbane,-,neg,5.915994734095875e-06,1.1757822903746273e-05
sand,-,neg,2.871538299586973e-06,6.965296506677987e-06
dress,-,pos,3.0663413781439885e-05,4.799257658305578e-05
sapsucker,-,pos,5.915994734095875e-06,1.1757822903746273e-05
snake,-,pos,0.00022654558415524662,0.00020342945936135948
tar,-,pos,0.00023477933427784592,1.6565525584155694e-05
hair,-,pos,0.003167112823575735,7.494830060750246e-05
radish,-,neg,5.915994734095875e-06,1.1757822903746273e-05
gown,-,pos,2.8704216674668714e-05,1.1160050235048402e-05
recorder,-,pos,2.010034449995146e-06,3.400077184778638e-05
tyre,-,pos,7.065722229526727e-07,1.4938276535758632e-06
combretum,-,neg,5.915994734095875e-06,1.1757822903746273e-05
weed,-,neg,5.258103101368761e-06,4.258754779584706e-05
acaridae,-,pos,5.915994734095875e-06,1.1757822903746273e-05
pupil,-,pos,0.004019611049443483,0.00010236819798592478
fox,-,neg,4.337603968451731e-05,7.802406616974622e-05
pit,-,pos,1.055963548424188e-05,7.162421388784423e-05
currawong,-,pos,5.915994734095875e-06,1.1757822903746273e-05
glass,-,pos,8.282347698695958e-05,0.00026894157053902745
rat,-,pos,1.8085902411257848e-06,2.40418717112334e-06
supermarket,-,neg,6.041713618287758e-07,1.414674989064224e-05
cloud,-,pos,0.00019452034030109644,0.00010158037184737623
balloon,-,pos,5.339138624549378e-06,1.0131459930562414e-05
market,-,pos,6.035341812093975e-06,0.0003459514700807631
heart,-,neg,0.0006282466347329319,0.00012616727326530963
dolphin,-,neg,5.927580559728085e-07,1.6696237707947148e-06
weasel,-,pos,2.533332406073896e-07,6.5855101638589986e-06
frog,-,neg,3.6717363400384784e-05,7.769783405819908e-05
cherry,-,pos,7.480854401364923e-05,7.641209231223911e-05
avocado,-,neg,5.915994734095875e-06,1.1757822903746273e-05
night,-,pos,0.00010505785758141428,0.00011077665112679824
lime,-,neg,3.1165217251327704e-07,4.127112788410159e-06
coatis,-,pos,5.915994734095875e-06,1.1757822903746273e-05
beetle,-,pos,0.00015838532999623567,0.00032914127223193645
human,-,pos,2.0335466615506448e-05,0.00023630120267625898
onion,-,neg,5.76124875806272e-06,7.323174213524908e-05
opossum,-,pos,5.915994734095875e-06,1.1757822903746273e-05
football,-,pos,3.969682893512072e-06,3.6675981391454116e-05
suit,-,pos,0.00019186176359653473,9.842433064477518e-05
miner,-,pos,3.3298823836958036e-05,1.9824561604764313e-05
rice,-,neg,7.856427146180067e-06,3.768590249819681e-05
pig,-,pos,4.985547548130853e-07,1.0728473171184305e-05
cat,-,pos,6.565245712408796e-05,0.0001722123270155862
fir,-,neg,2.7186169972992502e-06,0.00010418200690764934
echinocereus,-,neg,5.915994734095875e-06,1.1757822903746273e-05
honey,-,neg,8.594568498665467e-05,0.00011575617827475071
viscacha,-,neg,5.915994734095875e-06,1.1757822903746273e-05
butter,-,neg,2.264686827402329e-06,5.475007856148295e-05
monkey,-,pos,8.67176254359947e-07,9.080552445084322e-06
ketchup,-,neg,5.915994734095875e-06,1.1757822903746273e-05
toucanet,-,neg,5.915994734095875e-06,1.1757822903746273e-05
beet,-,neg,5.915994734095875e-06,1.1757822903746273e-05
giraffe,-,neg,5.915994734095875e-06,1.1757822903746273e-05
parrot,-,neg,3.795591328525916e-05,3.5025681427214295e-05
truffle,-,pos,5.915994734095875e-06,1.1757822903746273e-05
jade,-,neg,1.8960587340188795e-06,1.8863664763557608e-06
hornet,-,pos,2.5743104288267205e-06,2.780810746116913e-06
raccoon,-,pos,5.915994734095875e-06,1.1757822903746273e-05
crassula,-,neg,5.915994734095875e-06,1.1757822903746273e-05
pea,-,pos,6.1910586737212725e-06,8.830616025079507e-06
paint,-,pos,4.436835661181249e-05,2.128549022017978e-05
hose,-,pos,8.22318543214351e-06,3.2675839065632317e-06
olive,-,pos,2.9417427867883816e-05,1.217926819663262e-05
cockroach,-,pos,5.915994734095875e-06,1.1757822903746273e-05
paridae,-,pos,5.915994734095875e-06,1.1757822903746273e-05
lantern,-,pos,9.049745131051168e-05,2.5591389203327708e-05
bat,-,pos,0.00016083105583675206,3.771324918488972e-05
tomato,-,neg,2.3369300379272318e-06,3.022637974936515e-05
umbrella,-,pos,1.0155262089028838e-06,1.1828831247839844e-06
insect,-,pos,8.79168146639131e-05,0.00023201752628665417
bottle,-,neg,3.08187045447994e-05,0.00017144616867881268
raspberry,-,neg,5.915994734095875e-06,1.1757822903746273e-05
grape,-,pos,1.1255518984398805e-05,0.00012059293658239767
gherkin,-,neg,5.915994734095875e-06,1.1757822903746273e-05
blackboard,-,pos,5.915994734095875e-06,1.1757822903746273e-05
parka,-,pos,5.915994734095875e-06,1.1757822903746273e-05
crypt,-,pos,0.0002611537929624319,0.00017805839888751507
eye,-,pos,0.005750443320721388,2.4289258362841792e-05
owl,-,pos,4.139168231631629e-05,8.177214476745576e-05
mentzelia,-,neg,5.915994734095875e-06,1.1757822903746273e-05
forepaw,-,pos,5.915994734095875e-06,1.1757822903746273e-05
sheep,-,pos,2.0133936686761444e-06,1.9172193788108416e-05
sky,-,pos,0.0003234650648664683,0.00018363936396781355
mussel,-,pos,5.915994734095875e-06,1.1757822903746273e-05
ladybird,-,neg,5.915994734095875e-06,1.1757822903746273e-05
wine,-,neg,5.427325959317386e-06,6.859507266199216e-05
lion,-,neg,2.4522660169168375e-05,3.9910009945742786e-05
rhino,-,pos,3.193192242179066e-05,4.483212251216173e-05
skunk,-,pos,5.915994734095875e-06,1.1757822903746273e-05
car,-,pos,0.0006275876658037305,0.0007336970884352922
lizard,-,pos,9.27417931961827e-06,0.00018951534002553672
pelican,-,pos,5.915994734095875e-06,1.1757822903746273e-05
lobster,-,neg,8.968446309154388e-06,2.3381964638247155e-05
pear,-,neg,3.645355536718853e-05,1.906847501231823e-05
civet,-,pos,5.915994734095875e-06,1.1757822903746273e-05
coal,-,pos,1.2722794963337947e-05,2.557389780122321e-05
alligator,-,neg,1.1498275398480473e-07,1.928483243318624e-06
ring,-,pos,0.0002960985293611884,3.8525515265064314e-05
dog,-,pos,4.5931083150207996e-05,0.00020717474399134517
rhagoletis,-,pos,5.915994734095875e-06,1.1757822903746273e-05
cucumber,-,neg,5.915994734095875e-06,1.1757822903746273e-05
zebra,-,pos,1.2909667930216528e-06,8.91282888915157e-06
frogmouth,-,neg,5.915994734095875e-06,1.1757822903746273e-05
pipefish,-,pos,5.915994734095875e-06,1.1757822903746273e-05
carnation,-,neg,5.915994734095875e-06,1.1757822903746273e-05
bear,-,pos,1.2106231224606745e-05,7.679042755626142e-05
lark,-,neg,3.7245656585582765e-06,7.0296400735969655e-06
gorilla,-,pos,1.5990758583939169e-07,4.700611043517711e-06
milk,-,neg,3.412806472624652e-05,4.374829586595297e-05
aubergine,-,pos,5.915994734095875e-06,1.1757822903746273e-05
pot,-,pos,4.484127202886157e-06,1.0486186511116102e-05
magpie,-,pos,5.915994734095875e-06,1.1757822903746273e-05
apple,-,neg,3.054673697988619e-06,3.9819584344513714e-05
sun,-,neg,1.6637308362987824e-05,0.00022236243239603937
brick,-,neg,7.112252205843106e-06,5.1830869779223576e-05
calf,-,pos,6.768592720618472e-05,4.2833446059376e-05
leopard,-,pos,5.1225411880295724e-05,9.709575351735111e-06
pansy,-,neg,5.915994734095875e-06,1.1757822903746273e-05
starling,-,pos,5.915994734095875e-06,1.1757822903746273e-05
penguin,-,pos,9.291849892179016e-06,4.629900649888441e-05
nightmare,-,pos,7.349283919211302e-07,2.972866013806197e-06
cider,-,neg,5.915994734095875e-06,1.1757822903746273e-05
rain,-,neg,6.565473995578941e-06,0.00011154873936902732
bra,-,pos,3.1525847589364275e-05,7.868889952078462e-06
pyramid,-,neg,1.2626379657376674e-06,5.8016164985019714e-05
raisin,-,pos,5.915994734095875e-06,1.1757822903746273e-05
buttercup,-,neg,5.915994734095875e-06,1.1757822903746273e-05
bird,-,pos,0.0017017467180266976,0.002163879107683897
corn,-,neg,2.6424704628880136e-06,4.495107350521721e-05
housefly,-,pos,5.915994734095875e-06,1.1757822903746273e-05
coffee,-,pos,2.0690464225481264e-05,2.526919161027763e-05
crow,-,pos,4.1991595935542136e-05,0.00013564097753260285
jean,-,pos,1.134658305090852e-06,1.4355249504660605e-06
oven,-,pos,7.933109458235776e-08,1.1938130228372756e-05
crocodile,-,pos,8.270496323348198e-07,1.7229151126230136e-05
cow,-,pos,3.675977495731786e-06,5.062108539277688e-05
rabbit,-,pos,4.64369691144384e-07,1.0098566235683393e-05
flower,-,neg,0.002308804541826248,0.0004035864840261638
potoroo,-,pos,5.915994734095875e-06,1.1757822903746273e-05
stocking,-,pos,5.915994734095875e-06,1.1757822903746273e-05
