concept,prop_s,label,prob,prob_control
butter,-,neg,2.1028643459430896e-05,5.475007856148295e-05
lemon,-,neg,1.1429335245338734e-05,2.5336817088827956e-06
zebra,-,neg,6.793603915866697e-06,8.91282888915157e-06
balloon,-,pos,2.235573083453346e-05,1.0131459930562414e-05
cider,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
grapefruit,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
lawn,-,neg,1.1143789379275404e-05,2.1008025214541703e-05
onion,-,neg,1.515257463324815e-05,7.323174213524908e-05
recorder,-,pos,9.412032682121207e-07,3.400077184778638e-05
salad,-,neg,1.89226666407194e-05,2.3211976440506987e-05
fish,-,pos,0.004018224310129881,0.0006025370093993843
beet,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
crab,-,neg,1.9640876416815445e-05,2.6254623662680387e-05
taxi,-,pos,1.406885758115095e-06,1.9123808669974096e-06
lagoon,-,pos,5.2335970394779e-05,4.9660331569612026e-05
locust,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
tongue,-,neg,0.00023875558690633625,5.714839062420651e-05
cockroach,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
piano,-,pos,6.7011760620516725e-06,3.466955604380928e-05
pot,-,pos,2.433089684927836e-05,1.0486186511116102e-05
panther,-,neg,3.196559191565029e-05,1.189433260151418e-05
aubergine,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
cheese,-,pos,7.874299626564607e-05,0.00014114845544099808
squirrel,-,neg,8.242041803896427e-05,3.531453330651857e-05
hair,-,neg,0.00018629261467140168,7.494830060750246e-05
orchid,-,pos,7.58698588469997e-05,0.00012374379730317742
rooster,-,neg,6.076416411815444e-06,2.538654371164739e-06
robin,-,neg,4.2979486352123786e-06,7.313566584343789e-06
millipede,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
wand,-,pos,1.196023390548362e-06,1.151498395302042e-06
feeling,-,pos,2.044460643446655e-06,3.3228650863748044e-05
daisy,-,neg,2.9751141482847743e-05,1.5523361071245745e-05
egg,-,neg,0.0005989117780700326,0.00026884296676144004
cucumber,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
goldfish,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
cabbage,-,neg,4.908554183202796e-05,9.453723578189965e-06
flamingo,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
bushbaby,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
flame,-,pos,0.0002477367233950645,7.199418178061023e-05
cloak,-,pos,7.732299127383158e-05,3.423108864808455e-05
thought,-,neg,9.147061064140871e-06,0.00014111016935203224
clarinet,-,neg,1.3804387890559155e-06,2.3163811420090497e-06
eye,-,pos,0.00037824909668415785,2.4289258362841792e-05
ketchup,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
suit,-,pos,7.939404167700559e-05,9.842433064477518e-05
bellflower,-,pos,1.8093227481585927e-05,1.1757822903746273e-05
boot,-,pos,5.095653250464238e-06,5.607545858765661e-07
ring,-,pos,0.0002941542479675263,3.8525515265064314e-05
crow,-,neg,8.320944471051916e-05,0.00013564097753260285
truffle,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
currant,-,pos,1.8093227481585927e-05,1.1757822903746273e-05
apricot,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
jaguar,-,neg,3.5234370443504304e-06,5.593539299297845e-06
blackboard,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
bus,-,pos,2.5437235308345407e-05,2.2500425984617323e-05
radish,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
budgie,-,pos,1.8093227481585927e-05,1.1757822903746273e-05
strawberry,-,neg,2.413224137853831e-06,9.54725419433089e-06
lantern,-,pos,5.3137660870561376e-05,2.5591389203327708e-05
oven,-,neg,7.973701485752827e-07,1.1938130228372756e-05
dogbane,-,pos,1.8093227481585927e-05,1.1757822903746273e-05
kingfisher,-,pos,1.8093227481585927e-05,1.1757822903746273e-05
caterpillar,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
dolphin,-,neg,2.128325832018163e-05,1.6696237707947148e-06
heart,-,neg,0.0007089320570230484,0.00012616727326530963
corn,-,neg,1.0307667253073305e-05,4.495107350521721e-05
mussel,-,pos,1.8093227481585927e-05,1.1757822903746273e-05
tank,-,neg,0.0004181448894087225,0.0001720785949146375
clothing,-,pos,3.345189179526642e-05,4.650841583497822e-05
paint,-,pos,0.00036592240212485194,2.128549022017978e-05
sycamore,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
crossbill,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
scorpion,-,pos,2.4594728529336862e-05,4.527734745352063e-06
emerald,-,neg,7.451750661857659e-06,1.1641871424217243e-05
raven,-,neg,0.00015881603758316487,6.011907316860743e-05
buttercup,-,neg,1.8093227481585927e-05,1.1757822903746273e-05
problem,-,neg,2.9651519071194343e-05,0.0012968925293534994
water,-,pos,0.009495211765170097,0.00029756230651400983
car,-,pos,0.001017542788758874,0.0007336970884352922
