concept,prop_s,label,prob,prob_control
man,-,neg,0.0037275473587214947,0.01627640798687935
actor,-,neg,3.746857328223996e-05,8.391018491238356e-05
prince,-,neg,0.0002907482848968357,0.00024976240820251405
king,-,neg,0.001281781936995685,0.001085022697225213
human,-,neg,0.001857773750089109,0.000371957547031343
cockerel,-,neg,3.0542908007191727e-06,5.267150299914647e-06
robert,-,neg,1.089165493795008e-06,1.5329127563745715e-05
bull,-,neg,0.0004400649922899902,0.00021508474310394377
peacock,-,neg,2.2394639017875306e-05,4.06895060223178e-06
uncle,-,neg,3.9693327380518895e-06,1.6724112356314436e-05
brother,-,neg,1.7322987332590856e-05,6.41452134004794e-05
bitch,-,pos,0.003831910900771618,9.883679740596563e-05
actress,-,pos,0.0014166468754410744,0.00011243281187489629
queen,-,pos,0.06397268176078796,0.0012746688444167376
woman,-,pos,0.23263148963451385,0.008243347518146038
princess,-,pos,0.018913833424448967,0.0002393263130215928
girl,-,pos,0.15515482425689697,0.006906076334416866
sylph,-,pos,3.0542908007191727e-06,5.267150299914647e-06
cyprian,-,pos,3.0542908007191727e-06,5.267150299914647e-06
amazon,-,pos,0.0007089238497428596,4.682788494392298e-05
vamp,-,pos,0.0007126704440452158,0.00010364944319007918
housewife,-,pos,3.0542908007191727e-06,5.267150299914647e-06
siren,-,pos,0.0016736044781282544,0.0002490440965630114
coquette,-,pos,3.0542908007191727e-06,5.267150299914647e-06
nymph,-,pos,3.0542908007191727e-06,5.267150299914647e-06
dame,-,pos,0.00017282459884881973,9.174611477646977e-06
dowager,-,pos,0.0003245912666898221,6.601239874726161e-05
widow,-,pos,0.0014539515832439065,5.909756146138534e-05
mistress,-,pos,0.0006663661915808916,2.6214967874693684e-05
missus,-,pos,3.0542908007191727e-06,5.267150299914647e-06
chit,-,pos,3.0542908007191727e-06,5.267150299914647e-06
lass,-,pos,0.00028814803226850927,2.778300768113695e-05
concubine,-,pos,3.0542908007191727e-06,5.267150299914647e-06
courtesan,-,pos,3.0542908007191727e-06,5.267150299914647e-06
flapper,-,pos,3.0542908007191727e-06,5.267150299914647e-06
maiden,-,pos,0.0005751164280809462,8.285149306175299e-06
damsel,-,pos,3.0542908007191727e-06,5.267150299914647e-06
granny,-,pos,0.00012998846068512648,4.785295459441841e-06
witch,-,pos,0.028139179572463036,0.000416113092796877
temptress,-,pos,3.0542908007191727e-06,5.267150299914647e-06
marchioness,-,pos,3.0542908007191727e-06,5.267150299914647e-06
gentlewoman,-,pos,3.0542908007191727e-06,5.267150299914647e-06
peri,-,pos,3.0542908007191727e-06,5.267150299914647e-06
begum,-,pos,3.0542908007191727e-06,5.267150299914647e-06
wife,-,pos,0.0005121998838149011,7.813372212694958e-05
baby,-,neg,0.002191975712776184,0.0016651807818561792
lassie,-,pos,3.0542908007191727e-06,5.267150299914647e-06
maid,-,pos,0.002527095377445221,0.00012166023952886462
wench,-,pos,3.0542908007191727e-06,5.267150299914647e-06
minx,-,pos,3.0542908007191727e-06,5.267150299914647e-06
tomboy,-,pos,3.0542908007191727e-06,5.267150299914647e-06
lady,-,pos,0.03054882399737835,0.0013862975174561143
scouter,-,neg,3.0542908007191727e-06,5.267150299914647e-06
skirt,-,pos,5.631166277453303e-05,2.798912646539975e-05
rover,-,neg,1.0699847734940704e-05,6.25437096459791e-05
bachelorette,-,pos,3.0542908007191727e-06,5.267150299914647e-06
mother,-,pos,0.004151718690991402,0.00031097920145839453
gal,-,pos,5.342760414350778e-05,9.107999176194426e-06
doll,-,pos,0.0023441186640411615,0.00010958692291751504
ballerina,-,pos,3.0542908007191727e-06,5.267150299914647e-06
countess,-,pos,0.0020234198309481144,0.00012981491454411298
murderess,-,pos,3.0542908007191727e-06,5.267150299914647e-06
girlfriend,-,pos,9.033082460518926e-05,2.300026244483888e-05
daughter,-,pos,0.001185656408779323,7.095540058799088e-05
duchess,-,pos,0.0014801784418523312,2.061746818071697e-05
niece,-,pos,6.682120147161186e-05,4.865063601755537e-06
aunt,-,pos,0.00016145067638717592,1.5150922081375029e-05
heiress,-,pos,0.00019282009452581406,4.977126081939787e-06
socialite,-,neg,3.0542908007191727e-06,5.267150299914647e-06
molly,-,pos,1.6344567484338768e-05,1.1757314496207982e-05
millionairess,-,pos,3.0542908007191727e-06,5.267150299914647e-06
diva,-,pos,0.00016480348131153733,6.842504262749571e-06
mademoiselle,-,pos,3.0542908007191727e-06,5.267150299914647e-06
nun,-,pos,0.0034330475609749556,9.062412573257461e-05
cinderella,-,pos,2.6500099465920357e-06,2.8211132985234144e-07
lover,-,neg,3.5011020372621715e-05,7.2496081884310115e-06
adventuress,-,pos,3.0542908007191727e-06,5.267150299914647e-06
governess,-,pos,3.0542908007191727e-06,5.267150299914647e-06
stepmother,-,pos,2.7408723326516338e-05,2.8407530408003367e-06
stepsister,-,pos,3.0542908007191727e-06,5.267150299914647e-06
bride,-,pos,0.00236889673396945,5.806058834423311e-05
grandmother,-,pos,0.0004602588014677167,1.957871972990688e-05
hostess,-,pos,0.0005470047472044826,2.667452281457372e-05
ogress,-,pos,3.0542908007191727e-06,5.267150299914647e-06
dancer,-,neg,0.0006177013856358826,2.4604312784504145e-05
landlady,-,pos,3.0542908007191727e-06,5.267150299914647e-06
granddaughter,-,pos,5.3168932936387137e-05,5.265276286081644e-06
boyfriend,-,neg,2.449356088618515e-06,2.4590624889242463e-05
waitress,-,pos,0.0034912663977593184,0.0004687663458753377
stepdaughter,-,pos,3.0542908007191727e-06,5.267150299914647e-06
suitor,-,neg,3.0542908007191727e-06,5.267150299914647e-06
