concept,prop_s,label,prob,prob_control
velocipede,-,neg,2.863182089640759e-06,3.913741238648072e-05
shark,-,neg,0.00013434256834443659,9.122851770371199e-05
marabou,-,pos,2.863182089640759e-06,3.913741238648072e-05
penguin,-,neg,1.1844924301840365e-05,0.00038987360312603414
plane,-,pos,0.025426045060157776,4.362608160590753e-05
ship,-,neg,0.004300836008042097,0.00025960904895327985
lemur,-,neg,2.863182089640759e-06,3.913741238648072e-05
owl,-,pos,0.00034122838405892253,0.00010639778338372707
giraffe,-,neg,2.863182089640759e-06,3.913741238648072e-05
damselfish,-,neg,2.863182089640759e-06,3.913741238648072e-05
stallion,-,neg,4.567914584185928e-05,1.8067561541101895e-05
phaeton,-,neg,2.863182089640759e-06,3.913741238648072e-05
vulture,-,pos,7.703359005972743e-05,0.00017790183483157307
woodpecker,-,pos,2.863182089640759e-06,3.913741238648072e-05
helicopter,-,pos,0.017540398985147476,1.8475968317943625e-05
chow,-,neg,3.2052791993919527e-06,7.2724142228253186e-06
ostrich,-,neg,2.863182089640759e-06,3.913741238648072e-05
mammal,-,neg,1.580554999236483e-05,2.6923516998067498e-05
watchdog,-,neg,2.863182089640759e-06,3.913741238648072e-05
quail,-,pos,2.863182089640759e-06,3.913741238648072e-05
autogyro,-,pos,2.863182089640759e-06,3.913741238648072e-05
clarence,-,neg,2.921096211139229e-06,1.654564039199613e-05
groundhog,-,neg,2.863182089640759e-06,3.913741238648072e-05
crow,-,pos,0.002508034696802497,0.00014646028284914792
lion,-,neg,0.0001095767438528128,0.0002576386323198676
tiger,-,neg,0.0009028666536323726,0.00035113244666717947
toy,-,pos,0.0005082326824776828,0.00020505933207459748
loon,-,pos,2.863182089640759e-06,3.913741238648072e-05
saloon,-,neg,1.1753323860830278e-06,1.1682668628054671e-05
steamer,-,neg,9.473165846429765e-06,4.09119384130463e-05
sausage,-,neg,1.0670323717931751e-05,2.019566272792872e-05
forklift,-,neg,2.863182089640759e-06,3.913741238648072e-05
wren,-,pos,5.6209650210803375e-05,6.843460141681135e-06
