concept,prop_s,label,prob,prob_control
rattlesnake,-,pos,9.005858281341261e-09,9.366499398311134e-08
capybara,-,neg,9.005858281341261e-09,9.366499398311134e-08
cow,-,neg,3.970357283833437e-05,0.0003855370741803199
cock,-,neg,4.268171664989495e-07,1.3289711205288768e-05
felid,-,neg,9.005858281341261e-09,9.366499398311134e-08
trout,-,pos,7.57822782304629e-09,1.554831783323607e-07
bonobo,-,neg,9.005858281341261e-09,9.366499398311134e-08
micropterus,-,pos,9.005858281341261e-09,9.366499398311134e-08
ibex,-,neg,9.005858281341261e-09,9.366499398311134e-08
bronc,-,neg,9.005858281341261e-09,9.366499398311134e-08
linnet,-,pos,9.005858281341261e-09,9.366499398311134e-08
gyrfalcon,-,pos,9.005858281341261e-09,9.366499398311134e-08
timaliidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
icteridae,-,pos,9.005858281341261e-09,9.366499398311134e-08
egret,-,pos,9.005858281341261e-09,9.366499398311134e-08
apodidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
smallmouth,-,pos,9.005858281341261e-09,9.366499398311134e-08
torpedo,-,neg,3.960078931442013e-09,2.1798928173666354e-06
tortoise,-,pos,9.005858281341261e-09,9.366499398311134e-08
crow,-,pos,2.8628192012547515e-05,0.0010044155642390251
turtle,-,pos,7.700317837588955e-06,0.000643777777440846
neritidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
redstart,-,pos,9.005858281341261e-09,9.366499398311134e-08
drum,-,neg,3.571953399728045e-09,2.267602070560315e-07
chow,-,neg,1.5263866559589445e-11,2.7989120354732222e-08
hackney,-,neg,5.970414718170503e-10,2.1435693042803905e-07
stag,-,neg,9.005858281341261e-09,9.366499398311134e-08
malinois,-,neg,9.005858281341261e-09,9.366499398311134e-08
utahraptor,-,pos,9.005858281341261e-09,9.366499398311134e-08
flounder,-,pos,9.005858281341261e-09,9.366499398311134e-08
deer,-,neg,3.853073238246907e-08,1.2462973245419562e-05
jade,-,neg,1.0406457640055322e-10,2.0850869475452782e-08
whiff,-,neg,9.005858281341261e-09,9.366499398311134e-08
beaver,-,neg,2.2321782466860896e-07,1.7608374037081376e-05
painter,-,neg,7.068998542081317e-08,1.1870405614899937e-05
sardine,-,pos,9.005858281341261e-09,9.366499398311134e-08
procellariidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
hind,-,neg,2.7501480417413404e-06,0.0003714372869580984
currawong,-,pos,9.005858281341261e-09,9.366499398311134e-08
bulldog,-,neg,1.2319343767330793e-08,1.356532521867848e-07
fringillidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
albatross,-,pos,9.005858281341261e-09,9.366499398311134e-08
avocet,-,pos,9.005858281341261e-09,9.366499398311134e-08
bushbaby,-,neg,9.005858281341261e-09,9.366499398311134e-08
phalacrocorax,-,pos,9.005858281341261e-09,9.366499398311134e-08
armadillo,-,neg,9.005858281341261e-09,9.366499398311134e-08
stickleback,-,pos,9.005858281341261e-09,9.366499398311134e-08
platypus,-,pos,9.005858281341261e-09,9.366499398311134e-08
acaridae,-,pos,9.005858281341261e-09,9.366499398311134e-08
yellowthroat,-,pos,9.005858281341261e-09,9.366499398311134e-08
giraffe,-,neg,9.005858281341261e-09,9.366499398311134e-08
bull,-,neg,1.4619422472605947e-07,6.1013356571493205e-06
leatherback,-,pos,9.005858281341261e-09,9.366499398311134e-08
lepomis,-,pos,9.005858281341261e-09,9.366499398311134e-08
tanager,-,pos,9.005858281341261e-09,9.366499398311134e-08
creeper,-,pos,9.005858281341261e-09,9.366499398311134e-08
cob,-,neg,9.005858281341261e-09,9.366499398311134e-08
halibut,-,pos,9.005858281341261e-09,9.366499398311134e-08
curlew,-,pos,9.005858281341261e-09,9.366499398311134e-08
cony,-,neg,9.005858281341261e-09,9.366499398311134e-08
trogon,-,pos,9.005858281341261e-09,9.366499398311134e-08
pompon,-,neg,9.005858281341261e-09,9.366499398311134e-08
clupeidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
halfbeak,-,pos,9.005858281341261e-09,9.366499398311134e-08
mouser,-,neg,9.005858281341261e-09,9.366499398311134e-08
bass,-,pos,4.782273244074986e-09,6.869843787171703e-07
redhorse,-,neg,9.005858281341261e-09,9.366499398311134e-08
charadrius,-,pos,9.005858281341261e-09,9.366499398311134e-08
chicken,-,pos,6.718162239849335e-06,7.92521532275714e-05
salmon,-,pos,1.4759919508833264e-07,4.147677259425109e-07
char,-,pos,1.1415945272430505e-10,6.275845620962173e-09
pachyderm,-,neg,9.005858281341261e-09,9.366499398311134e-08
hen,-,pos,2.7380121537134983e-05,0.00023248708748724312
lynx,-,neg,6.5211627209293965e-09,4.973070417690906e-07
stockfish,-,pos,9.005858281341261e-09,9.366499398311134e-08
motacilla,-,pos,9.005858281341261e-09,9.366499398311134e-08
hobby,-,neg,1.6656971979500668e-07,2.0302156826801365e-06
plaice,-,pos,9.005858281341261e-09,9.366499398311134e-08
whippet,-,neg,9.005858281341261e-09,9.366499398311134e-08
chamois,-,neg,9.005858281341261e-09,9.366499398311134e-08
whitethroat,-,pos,9.005858281341261e-09,9.366499398311134e-08
leopard,-,neg,3.866715303502133e-08,1.1720261454684078e-06
layer,-,neg,1.042055064459646e-08,4.98955500916054e-07
humankind,-,neg,9.005858281341261e-09,9.366499398311134e-08
hare,-,neg,9.60214151746186e-07,8.047536539379507e-06
human,-,neg,3.083258434344316e-06,0.00023252110986504704
addax,-,neg,9.005858281341261e-09,9.366499398311134e-08
roach,-,pos,1.0100661285150636e-07,3.839676992356544e-06
blackbuck,-,neg,9.005858281341261e-09,9.366499398311134e-08
calidris,-,pos,9.005858281341261e-09,9.366499398311134e-08
duck,-,pos,9.126027293859806e-07,6.846743053756654e-05
quail,-,pos,9.005858281341261e-09,9.366499398311134e-08
syngnathidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
cotingidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
permit,-,neg,4.659451935395964e-09,1.8226153031264403e-07
muskrat,-,neg,9.005858281341261e-09,9.366499398311134e-08
howler,-,neg,9.005858281341261e-09,9.366499398311134e-08
toadfish,-,pos,9.005858281341261e-09,9.366499398311134e-08
turkey,-,pos,1.2248194991570927e-07,2.4785675122984685e-05
skate,-,neg,4.758371030533226e-09,2.0714558957024565e-07
pointer,-,neg,4.021144750510075e-09,2.433264683077141e-07
hack,-,neg,1.0941680450571312e-08,9.076045870415328e-08
drill,-,neg,1.3609189863927895e-07,7.981334988471644e-07
typhlopidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
paridae,-,pos,9.005858281341261e-09,9.366499398311134e-08
eland,-,neg,9.005858281341261e-09,9.366499398311134e-08
mangabey,-,neg,9.005858281341261e-09,9.366499398311134e-08
lark,-,pos,1.37681396950029e-07,5.434019840322435e-06
packhorse,-,neg,9.005858281341261e-09,9.366499398311134e-08
grade,-,neg,1.3411179111688654e-10,4.032230549455562e-09
robin,-,pos,2.8231336273165653e-06,8.85211702552624e-05
stork,-,pos,9.005858281341261e-09,9.366499398311134e-08
cuscus,-,neg,9.005858281341261e-09,9.366499398311134e-08
coypu,-,neg,9.005858281341261e-09,9.366499398311134e-08
pickerel,-,pos,9.005858281341261e-09,9.366499398311134e-08
mole,-,neg,6.6789156427660146e-09,8.174956178663706e-07
roebuck,-,neg,9.005858281341261e-09,9.366499398311134e-08
mankind,-,neg,2.4798041398099713e-09,3.428950776651618e-07
viscacha,-,neg,9.005858281341261e-09,9.366499398311134e-08
gnu,-,neg,1.9259704941987366e-11,4.0025076586402974e-09
psittacula,-,pos,9.005858281341261e-09,9.366499398311134e-08
pleuronectidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
grackle,-,pos,9.005858281341261e-09,9.366499398311134e-08
equine,-,neg,9.005858281341261e-09,9.366499398311134e-08
sheep,-,neg,1.675208416429541e-08,1.193858565784467e-06
tropicbird,-,pos,9.005858281341261e-09,9.366499398311134e-08
puss,-,neg,9.005858281341261e-09,9.366499398311134e-08
whale,-,neg,1.6303484073887375e-07,5.2806710300501436e-05
emberizidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
strigidae,-,pos,9.005858281341261e-09,9.366499398311134e-08
pipefish,-,pos,9.005858281341261e-09,9.366499398311134e-08
moose,-,neg,1.3001375975818519e-08,6.920179771441326e-07
pintail,-,pos,9.005858281341261e-09,9.366499398311134e-08
crocodile,-,pos,2.236594554005933e-08,2.773621190499398e-06
crane,-,pos,6.043169378244784e-07,0.00013879015750717372
tabby,-,neg,9.005858281341261e-09,9.366499398311134e-08
collie,-,neg,9.005858281341261e-09,9.366499398311134e-08
mosquitofish,-,pos,9.005858281341261e-09,9.366499398311134e-08
pig,-,neg,6.246406769605528e-08,2.005049736908404e-06
world,-,neg,1.5368179617780697e-08,9.170753401122056e-06
haliaeetus,-,pos,9.005858281341261e-09,9.366499398311134e-08
laridae,-,pos,9.005858281341261e-09,9.366499398311134e-08
lemming,-,neg,9.005858281341261e-09,9.366499398311134e-08
merganser,-,pos,9.005858281341261e-09,9.366499398311134e-08
merino,-,neg,9.005858281341261e-09,9.366499398311134e-08
