concept,prop_s,label,prob,prob_control,prob_norm
radish,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
boot,-,neg,1.894509523481247e-06,5.607545858765661e-07,1.3337549376046809e-06
huckleberry,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
piano,-,neg,6.177630780257459e-07,3.466955604380928e-05,-3.4051792965783534e-05
grape,-,neg,2.1720503355027176e-05,0.00012059293658239767,-9.887243322737049e-05
bean,-,neg,1.3018271602049936e-05,2.7045314709539525e-05,-1.402704310748959e-05
chocolate,-,neg,4.888101830147207e-05,1.5769908713991754e-05,3.3111109587480314e-05
salad,-,neg,5.3343333092925604e-06,2.3211976440506987e-05,-1.7877643131214427e-05
brick,-,neg,9.039647920872085e-06,5.1830869779223576e-05,-4.279122185835149e-05
herb,-,neg,1.920213435369078e-06,7.149141310947016e-05,-6.957119967410108e-05
lime,-,neg,1.982931053134962e-06,4.127112788410159e-06,-2.144181735275197e-06
bee,-,pos,4.748059438952623e-07,2.864122870960273e-05,-2.8166422765707466e-05
daffodil,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
car,-,neg,0.00024345863494090736,0.0007336970884352922,-0.0004902384534943849
cheetah,-,pos,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
berry,-,neg,6.126744847279042e-05,9.732752914715093e-06,5.153469555807533e-05
clarinet,-,neg,2.641959895299806e-07,2.3163811420090497e-06,-2.052185152479069e-06
frog,-,neg,2.6454366889083758e-05,7.769783405819908e-05,-5.124346716911532e-05
emerald,-,neg,1.0155231393582653e-06,1.1641871424217243e-05,-1.0626348284858977e-05
serviceberry,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
cricket,-,neg,6.45879208605038e-06,1.2985712601221167e-05,-6.5269205151707865e-06
walnut,-,neg,1.3377173502249207e-07,1.9221870388719253e-06,-1.7884153038494333e-06
bus,-,pos,1.1138064337501419e-06,2.2500425984617323e-05,-2.138661955086718e-05
cactus,-,neg,8.90804312803084e-06,0.00015979587624315172,-0.00015088783311512088
orange,-,neg,2.0151097487541847e-05,9.542820407659747e-06,1.06082770798821e-05
peacock,-,neg,2.496751676517306e-06,3.0437427085416857e-06,-5.469910320243798e-07
crassula,-,neg,8.097378668026067e-06,1.1757822903746273e-05,-3.660444235720206e-06
orchid,-,pos,0.00018626956443767995,0.00012374379730317742,6.252576713450253e-05
water,-,neg,0.00017451592430006713,0.00029756230651400983,-0.0001230463822139427
