concept,prop_s,label,prob,prob_control
velocipede,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
shark,-,neg,4.5273525756783783e-05,3.539833414833993e-05
marabou,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
penguin,-,neg,2.7542041607375722e-06,0.0007591441972181201
plane,-,pos,0.0027770926244556904,1.8055732653010637e-05
ship,-,neg,0.0028380125295370817,0.00024967442732304335
lemur,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
owl,-,pos,8.676229481352493e-05,4.348799484432675e-05
giraffe,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
damselfish,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
stallion,-,neg,5.803818567073904e-05,6.931000825716183e-06
phaeton,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
vulture,-,pos,3.099418108831742e-06,1.5885507309576496e-05
woodpecker,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
helicopter,-,pos,0.0031490724068135023,3.1357445550384e-05
chow,-,neg,3.6457847727433546e-06,4.185738362139091e-06
ostrich,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
mammal,-,neg,1.1088877727161162e-06,3.738623854587786e-05
watchdog,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
quail,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
autogyro,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
clarence,-,neg,1.6872838841663906e-06,7.154521154006943e-05
groundhog,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
crow,-,pos,0.0006588041433133185,0.0008960687555372715
lion,-,neg,9.011825022753328e-05,1.9297707694931887e-05
tiger,-,neg,0.00012509460793808103,0.0001322052994510159
toy,-,pos,7.037565228529274e-05,3.882114833686501e-05
loon,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
saloon,-,neg,2.495572175575944e-07,7.522073701693444e-06
steamer,-,neg,5.6656572269275784e-06,1.3772378224530257e-05
sausage,-,neg,5.392572347773239e-06,5.088971647637663e-06
forklift,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
wren,-,pos,0.00010024604125646874,1.0410639333713334e-05
craft,-,pos,8.418044308200479e-05,4.740533040603623e-05
puffin,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
bomber,-,pos,6.511372339446098e-05,2.4943537937360816e-05
butterfly,-,pos,4.586301656672731e-05,6.876765110064298e-05
pheasant,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
minesweeper,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
tractor,-,neg,1.6089225027826615e-05,5.20690127814305e-06
budgie,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
minnow,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
kite,-,pos,0.00019938436162192374,0.0001407692616339773
schooner,-,neg,2.1104328880028334e-06,0.0001631890336284414
yellowhammer,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
coupe,-,neg,1.4621406990045216e-05,5.2022055996303607e-08
pigeon,-,pos,0.00021251120779197663,0.00012741031241603196
gnu,-,neg,2.7944033718085848e-06,5.978644185233861e-05
moorcock,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
sunfish,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
amberjack,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
snowbird,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
carrier,-,neg,2.035865509242285e-05,1.9111208530375734e-05
turtle,-,neg,1.9852275727316737e-05,8.03974544396624e-05
jalopy,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
bobcat,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
sky,-,pos,0.00019368102948646992,0.00018881911819335073
tropicbird,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
nightingale,-,pos,2.684554374354775e-06,4.549980531010078e-06
bark,-,neg,6.866392141091637e-06,1.4719249520567246e-05
ass,-,neg,0.00012074908590875566,1.263359263248276e-05
boat,-,neg,0.0026059651281684637,7.863978680688888e-05
bearcat,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
gallinule,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
stork,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
whitethroat,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
skimmer,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
skylark,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
paridae,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
basset,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
jet,-,pos,0.0005199498264119029,0.00013116365880705416
hind,-,neg,1.571769416841562e-06,4.841600457439199e-06
balloon,-,pos,0.00018283951794728637,3.597208342398517e-05
bream,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
mangabey,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
lorry,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
babbler,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
wherry,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
icteridae,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
roebuck,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
deer,-,neg,0.00011683608317980543,9.855754615273327e-05
rudd,-,neg,1.704769374555326e-07,4.279634140402777e-06
heap,-,neg,5.737878836953314e-06,6.090355668675329e-07
twinjet,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
rabbit,-,neg,0.00023885347764007747,1.178593811346218e-05
trailer,-,neg,4.2242852941853926e-05,9.722309187054634e-06
hog,-,neg,1.2142502782808151e-05,5.5002055887598544e-05
emu,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
arrow,-,pos,0.0025193251203745604,3.8758280425099656e-05
wing,-,pos,9.879399294732139e-05,1.8529879525885917e-05
shell,-,neg,9.47301450651139e-05,3.446560731390491e-05
grosbeak,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
flicker,-,pos,5.1018082558584865e-06,1.3949014828540385e-05
titi,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
interceptor,-,neg,2.3067485017236322e-05,1.2264339375178679e-06
phalacrocorax,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
capsule,-,pos,3.468898648861796e-05,6.284508344833739e-06
ferry,-,neg,3.900734373019077e-05,1.744961082295049e-05
pussy,-,neg,5.608153060165932e-06,2.2097735836723587e-06
flycatcher,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
duck,-,pos,4.183775672572665e-05,8.906930452212691e-05
armadillo,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
ounce,-,neg,6.658947881987842e-07,2.67939617515367e-06
ratite,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
hawk,-,pos,5.103017610963434e-05,8.397251804126427e-06
lizardfish,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
pelican,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
monkey,-,neg,6.3349049014505e-05,4.6256231144070625e-05
chinook,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
mola,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
howler,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
cart,-,neg,0.00014424014079850167,3.344543756611529e-06
car,-,neg,0.0020120299886912107,3.966800431953743e-05
robin,-,pos,5.7875108723237645e-06,4.4970682210987434e-05
submarine,-,neg,1.3872227100364398e-05,4.6674696932313964e-05
machine,-,pos,0.00011497387458803132,1.556494680698961e-05
ape,-,neg,1.0724778803705703e-05,1.3075175957055762e-05
bogie,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
haddock,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
towhee,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
nuthatch,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
grouper,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
seagull,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
razorback,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
knot,-,neg,6.640712672378868e-05,4.964107120031258e-06
whistler,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
tit,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
sharpie,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
junk,-,neg,0.00011357723997207358,6.722498801536858e-05
avocet,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
scull,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
fryer,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
merganser,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
pinniped,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
tramcar,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
mouse,-,neg,0.00016747682821005583,3.76538855562103e-06
catfish,-,neg,6.4747350734251086e-06,2.5826323053479427e-06
tortoise,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
airship,-,pos,2.401056008238811e-05,1.5849249393795617e-05
plaice,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
shunter,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
goldcrest,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
fowl,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
caracara,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
poacher,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
stock,-,neg,3.594477675505914e-05,0.00013637672236654907
albatross,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
toadfish,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
goatfish,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
tower,-,neg,3.4280757972737774e-05,4.135468043386936e-05
van,-,neg,0.0004998981021344662,3.626837860792875e-05
jade,-,neg,5.506115940079326e-06,1.1845885637740139e-05
motacilla,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
silverback,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
emberizidae,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
potoroo,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
chick,-,neg,3.1528223189525306e-05,1.0144544830836821e-05
yawl,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
sheepshead,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
seal,-,neg,2.2111569705884904e-05,7.79045331000816e-06
taxi,-,neg,2.9954007914057e-05,8.389359209104441e-06
sloop,-,neg,2.155678885173984e-06,3.2622913295199396e-06
barnacle,-,neg,3.0144822176225716e-06,4.1580710785638075e-06
buffalo,-,neg,3.5317378205945715e-05,0.002410231390967965
titmouse,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
gull,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
zebra,-,neg,5.512980578714632e-07,3.801152706728317e-05
ouzel,-,pos,3.0144822176225716e-06,4.1580710785638075e-06
truck,-,neg,0.00017245349590666592,5.407565822679317e-06
