concept,prop_s,label,prob,prob_control
fenugreek,-,neg,4.0048609662335366e-05,9.255394252249971e-05
brick,-,pos,0.00028180310619063675,3.6977948184357956e-05
wand,-,pos,4.0964896470541134e-06,7.145680456233094e-07
quesadilla,-,neg,4.0048609662335366e-05,9.255394252249971e-05
guava,-,neg,4.0048609662335366e-05,9.255394252249971e-05
water,-,neg,0.00022749380150344223,0.0007196826627478004
dogwood,-,pos,4.0048609662335366e-05,9.255394252249971e-05
yogurt,-,neg,4.0048609662335366e-05,9.255394252249971e-05
mentzelia,-,neg,4.0048609662335366e-05,9.255394252249971e-05
vanilla,-,neg,4.883715973846847e-07,4.0992008507600985e-06
lark,-,neg,1.4231575732992496e-05,4.042785076308064e-05
cilantro,-,neg,4.0048609662335366e-05,9.255394252249971e-05
clothing,-,pos,6.293329352047294e-05,1.9767119738389738e-05
apricot,-,pos,4.0048609662335366e-05,9.255394252249971e-05
frog,-,neg,0.0002166630729334429,0.0001475885510444641
blackboard,-,neg,4.0048609662335366e-05,9.255394252249971e-05
raisin,-,neg,4.0048609662335366e-05,9.255394252249971e-05
currant,-,pos,4.0048609662335366e-05,9.255394252249971e-05
chive,-,neg,4.0048609662335366e-05,9.255394252249971e-05
pot,-,pos,6.967207355046412e-06,2.9729339075856842e-05
cream,-,neg,0.00022564185201190412,4.68791949970182e-05
lingonberry,-,pos,4.0048609662335366e-05,9.255394252249971e-05
geranium,-,pos,4.0048609662335366e-05,9.255394252249971e-05
chicken,-,neg,1.8734315744950436e-05,3.5693585232365876e-05
bulgur,-,neg,4.0048609662335366e-05,9.255394252249971e-05
peanut,-,neg,1.386688495585986e-06,3.915908109775046e-06
cereal,-,neg,2.784275466183317e-06,8.907470146368723e-06
miner,-,pos,1.1492275007185526e-05,1.0496186405362096e-05
banana,-,neg,2.496339220670052e-06,3.748985363927204e-06
radish,-,pos,4.0048609662335366e-05,9.255394252249971e-05
berry,-,pos,0.00017494932399131358,1.5942663594614714e-05
watermelon,-,pos,4.0048609662335366e-05,9.255394252249971e-05
avocado,-,neg,4.0048609662335366e-05,9.255394252249971e-05
fear,-,neg,3.5992738958157133e-06,1.3270928320707753e-05
syrup,-,pos,1.6855796275194734e-05,7.97351822257042e-06
bloodstone,-,pos,4.0048609662335366e-05,9.255394252249971e-05
tongue,-,pos,0.00398995541036129,0.00011399474169593304
coconut,-,neg,2.3501210307586007e-05,3.6428376915864646e-05
spice,-,pos,5.629532097373158e-06,1.8711411939875688e-06
weed,-,neg,7.36128004064085e-06,3.2322357583325356e-05
shiitake,-,neg,4.0048609662335366e-05,9.255394252249971e-05
fern,-,pos,5.577256524702534e-05,2.340118953725323e-05
pansy,-,pos,4.0048609662335366e-05,9.255394252249971e-05
ink,-,pos,0.0006633637240156531,9.154721919912845e-05
mango,-,pos,7.691345672355965e-05,2.984697675856296e-05
chocolate,-,neg,2.8690263206954114e-05,1.0069757991004735e-05
mamey,-,neg,4.0048609662335366e-05,9.255394252249971e-05
eye,-,neg,0.008008656091988087,7.797623402439058e-05
beetroot,-,pos,4.0048609662335366e-05,9.255394252249971e-05
ambulance,-,pos,1.095071070267295e-06,2.5379511043865932e-06
lipstick,-,pos,0.0006488351500593126,3.514466152410023e-05
couch,-,pos,1.6397636500187218e-05,6.794653018005192e-05
echinocereus,-,pos,4.0048609662335366e-05,9.255394252249971e-05
melon,-,pos,4.0048609662335366e-05,9.255394252249971e-05
pepper,-,pos,3.299109448562376e-05,2.5699232537590433e-06
robin,-,pos,2.7870131816598587e-05,7.550428108515916e-06
limousine,-,neg,2.3070603560881864e-07,3.325120303543372e-07
pit,-,neg,2.2884518330101855e-05,3.308435043436475e-05
ladybird,-,pos,4.0048609662335366e-05,9.255394252249971e-05
lemon,-,neg,1.5769069250382017e-06,1.7768162479114835e-06
grape,-,pos,3.658310015453026e-05,8.397637429879978e-05
egg,-,neg,0.0017766793025657535,0.00045198548468761146
allspice,-,pos,4.0048609662335366e-05,9.255394252249971e-05
gherkin,-,neg,4.0048609662335366e-05,9.255394252249971e-05
tiger,-,neg,2.019981184275821e-05,3.398122134967707e-05
hazelnut,-,neg,4.0048609662335366e-05,9.255394252249971e-05
ruby,-,pos,2.9785078368149698e-05,1.0321811032554251e-06
hair,-,pos,0.0006801828276365995,2.8488087991718203e-05
flame,-,pos,5.573585076490417e-05,4.669455665862188e-05
football,-,pos,1.0398309314041398e-05,1.7836249753599986e-05
peony,-,pos,4.0048609662335366e-05,9.255394252249971e-05
crow,-,neg,4.539640576695092e-05,4.1494538891129196e-05
blueberry,-,neg,4.0048609662335366e-05,9.255394252249971e-05
beet,-,pos,4.0048609662335366e-05,9.255394252249971e-05
lewisia,-,pos,4.0048609662335366e-05,9.255394252249971e-05
crypt,-,neg,2.5251982151530683e-05,0.00016630264872219414
vegetable,-,pos,2.7503960154717788e-05,1.964708098967094e-05
vinegar,-,pos,2.7211892756895395e-06,3.251247335356311e-06
lobster,-,pos,1.0730822395998985e-05,1.232792783412151e-05
dog,-,neg,5.293151116347872e-05,0.00014248787192627788
mangifera,-,pos,4.0048609662335366e-05,9.255394252249971e-05
jeep,-,pos,3.4911630564238294e-07,8.163129905369715e-07
milk,-,neg,0.00020988013420719653,5.7288463722215965e-05
wine,-,pos,4.090247966814786e-05,2.95937861665152e-05
vine,-,pos,6.120863690739498e-05,7.329625805141404e-05
carrot,-,neg,1.6402000255766325e-05,7.450644261552952e-06
barn,-,pos,1.6197311197174713e-05,1.7324951841146685e-05
leafs,-,pos,2.295201113611256e-07,1.9110281357370695e-07
flower,-,pos,0.014812738634645939,0.0015297115314751863
cockroach,-,neg,4.0048609662335366e-05,9.255394252249971e-05
ageratina,-,neg,4.0048609662335366e-05,9.255394252249971e-05
potato,-,neg,1.8641781935002655e-05,1.8266262486577034e-05
artichoke,-,neg,4.0048609662335366e-05,9.255394252249971e-05
pineapple,-,neg,4.0048609662335366e-05,9.255394252249971e-05
garlic,-,neg,2.4021464923862368e-06,3.0983287615526933e-06
squirrel,-,pos,7.328862011490855e-06,1.1411128980398644e-05
cowpeas,-,neg,4.0048609662335366e-05,9.255394252249971e-05
honey,-,neg,1.1417619134590495e-05,1.2941852219228167e-05
cherry,-,pos,0.00013103379751555622,2.9315218853298575e-05
celery,-,neg,4.0048609662335366e-05,9.255394252249971e-05
