concept,prop_s,label,prob,prob_control
cloak,-,pos,4.3134794395882636e-05,7.896986971900333e-06
vinyl,-,pos,1.3807444702251814e-05,1.668108416197356e-05
surcoat,-,pos,9.89133241091622e-07,9.255394252249971e-05
sun,-,pos,0.10029681771993637,0.00012027740740450099
basement,-,pos,0.00012065014016116038,0.00010622029367368668
cummerbund,-,neg,9.89133241091622e-07,9.255394252249971e-05
chiffon,-,pos,9.89133241091622e-07,9.255394252249971e-05
scarf,-,pos,9.463301466894336e-06,6.218650696609984e-07
necktie,-,pos,9.89133241091622e-07,9.255394252249971e-05
vest,-,pos,5.681628863385413e-06,3.607059397836565e-06
beer,-,neg,0.0003206102119293064,3.7428999348776415e-05
parka,-,pos,9.89133241091622e-07,9.255394252249971e-05
corset,-,pos,9.89133241091622e-07,9.255394252249971e-05
icicle,-,neg,9.89133241091622e-07,9.255394252249971e-05
poncho,-,pos,9.89133241091622e-07,9.255394252249971e-05
overcoat,-,pos,9.89133241091622e-07,9.255394252249971e-05
jean,-,pos,1.1230732752665062e-06,2.5221939381481207e-07
bag,-,neg,6.842907168902457e-05,1.6991978554870002e-05
wig,-,pos,3.3192316095664864e-07,4.7491852228631615e-07
deerskin,-,pos,9.89133241091622e-07,9.255394252249971e-05
heat,-,pos,0.00044552236795425415,9.901183511829004e-05
lace,-,neg,1.427504116691125e-06,2.1898493287153542e-05
cassock,-,pos,9.89133241091622e-07,9.255394252249971e-05
soup,-,pos,0.0005512509378604591,2.2807995264884084e-05
uniform,-,pos,1.0306011972716078e-05,1.3563604625232983e-05
water,-,pos,0.06476730108261108,0.0007196826627478004
forest,-,neg,0.00036696268944069743,0.0006022218149155378
coverall,-,pos,9.89133241091622e-07,9.255394252249971e-05
people,-,pos,1.842164010668057e-06,3.74543851648923e-05
tea,-,pos,0.0003538333112373948,8.24327435111627e-06
turtleneck,-,pos,9.89133241091622e-07,9.255394252249971e-05
dress,-,pos,0.00017225524061359465,1.7993310393649153e-05
cuff,-,neg,1.8720011496498046e-07,8.661104402563069e-07
galosh,-,pos,9.89133241091622e-07,9.255394252249971e-05
outfit,-,pos,2.455943331369781e-06,7.209902719296224e-07
tile,-,pos,8.570683712605387e-05,7.099833055690397e-06
cloth,-,pos,2.8437909350031987e-05,6.429414042941062e-06
atmosphere,-,pos,0.0004917863407172263,0.00016258936375379562
slipper,-,pos,9.89133241091622e-07,9.255394252249971e-05
pyjama,-,pos,9.89133241091622e-07,9.255394252249971e-05
flannel,-,pos,9.89133241091622e-07,9.255394252249971e-05
