concept,prop_s,label,prob,prob_control
bracelet,-,neg,2.962114997728804e-09,2.8640918525724146e-09
photocopier,-,pos,2.962114997728804e-09,2.8640918525724146e-09
hardware,-,pos,2.962114997728804e-09,2.8640918525724146e-09
computer,-,pos,8.532156314799977e-09,1.4018233684964798e-07
tart,-,pos,2.962114997728804e-09,2.8640918525724146e-09
floppy,-,pos,2.962114997728804e-09,2.8640918525724146e-09
file,-,pos,1.6932405344505241e-07,3.314790149033797e-07
snack,-,pos,2.962114997728804e-09,2.8640918525724146e-09
mainframe,-,pos,2.962114997728804e-09,2.8640918525724146e-09
pantry,-,pos,2.962114997728804e-09,2.8640918525724146e-09
tortilla,-,neg,2.962114997728804e-09,2.8640918525724146e-09
barrel,-,neg,2.962114997728804e-09,2.8640918525724146e-09
bookmark,-,pos,2.962114997728804e-09,2.8640918525724146e-09
disk,-,neg,1.1572677038884649e-08,4.156361921303642e-09
restroom,-,pos,2.962114997728804e-09,2.8640918525724146e-09
typewriter,-,pos,2.962114997728804e-09,2.8640918525724146e-09
gameboard,-,pos,2.962114997728804e-09,2.8640918525724146e-09
workroom,-,pos,2.962114997728804e-09,2.8640918525724146e-09
shelf,-,pos,2.962114997728804e-09,2.8640918525724146e-09
card,-,pos,7.478244867797912e-08,5.736233674724645e-07
bookshelf,-,pos,2.962114997728804e-09,2.8640918525724146e-09
desk,-,pos,2.962114997728804e-09,2.8640918525724146e-09
washroom,-,pos,2.962114997728804e-09,2.8640918525724146e-09
luggage,-,pos,2.962114997728804e-09,2.8640918525724146e-09
locker,-,pos,2.962114997728804e-09,2.8640918525724146e-09
screen,-,pos,5.471873919304926e-06,2.0480799776123604e-06
doorbell,-,pos,2.962114997728804e-09,2.8640918525724146e-09
countertop,-,pos,2.962114997728804e-09,2.8640918525724146e-09
window,-,pos,3.806560755492683e-08,1.1193174742629708e-07
kitchenette,-,pos,2.962114997728804e-09,2.8640918525724146e-09
bedroom,-,pos,2.7135895752650185e-09,7.770302734577683e-10
notebook,-,pos,2.962114997728804e-09,2.8640918525724146e-09
subdirectory,-,neg,2.962114997728804e-09,2.8640918525724146e-09
room,-,pos,2.7546721526050533e-07,6.470327207352966e-06
console,-,pos,3.4244852287201866e-08,3.378869735115586e-07
egg,-,neg,2.712809354932233e-08,4.343007020679579e-08
desktop,-,pos,3.3397207221952385e-09,1.7090632242755532e-09
cupboard,-,pos,2.962114997728804e-09,2.8640918525724146e-09
diskette,-,pos,2.962114997728804e-09,2.8640918525724146e-09
keypad,-,pos,2.962114997728804e-09,2.8640918525724146e-09
mug,-,neg,2.962114997728804e-09,2.8640918525724146e-09
classroom,-,pos,2.962114997728804e-09,2.8640918525724146e-09
floor,-,pos,9.675643468654016e-07,4.2143231127056424e-08
ball,-,neg,2.0984309685445623e-06,7.41621875022247e-07
blackboard,-,pos,2.962114997728804e-09,2.8640918525724146e-09
cabinet,-,pos,2.962114997728804e-09,2.8640918525724146e-09
rack,-,pos,1.1131706667555363e-09,1.163454843577938e-08
sphere,-,neg,2.962114997728804e-09,2.8640918525724146e-09
recliner,-,pos,2.962114997728804e-09,2.8640918525724146e-09
server,-,pos,5.658395707541786e-07,1.8701231283557718e-06
apartment,-,pos,2.962114997728804e-09,2.8640918525724146e-09
hallway,-,pos,2.962114997728804e-09,2.8640918525724146e-09
couch,-,pos,2.962114997728804e-09,2.8640918525724146e-09
kitchen,-,pos,2.962114997728804e-09,2.8640918525724146e-09
parlor,-,pos,2.962114997728804e-09,2.8640918525724146e-09
sideboard,-,pos,2.962114997728804e-09,2.8640918525724146e-09
button,-,pos,2.8734879364833432e-08,4.683833765284362e-08
tape,-,neg,2.962114997728804e-09,2.8640918525724146e-09
cube,-,pos,1.1872672985191457e-05,6.168687782803772e-09
