concept,prop_s,label,prob,prob_control
peach,-,pos,7.109754508608165e-27,7.340583683567588e-26
soup,-,neg,7.109754508608165e-27,7.340583683567588e-26
gift,-,pos,7.109754508608165e-27,7.340583683567588e-26
pip,-,neg,7.109754508608165e-27,7.340583683567588e-26
fry,-,neg,7.109754508608165e-27,7.340583683567588e-26
pod,-,neg,1.4296205108621507e-07,1.0715481266743154e-06
sorrel,-,neg,7.109754508608165e-27,7.340583683567588e-26
currant,-,pos,7.109754508608165e-27,7.340583683567588e-26
freestone,-,neg,7.109754508608165e-27,7.340583683567588e-26
onion,-,pos,7.109754508608165e-27,7.340583683567588e-26
scallop,-,neg,7.109754508608165e-27,7.340583683567588e-26
grapefruit,-,pos,7.109754508608165e-27,7.340583683567588e-26
date,-,pos,7.337503689086589e-07,6.379526894306764e-05
cake,-,pos,0.00016772872186265886,9.883706661639735e-05
cucumber,-,neg,7.109754508608165e-27,7.340583683567588e-26
soy,-,neg,7.109754508608165e-27,7.340583683567588e-26
flavoring,-,pos,7.109754508608165e-27,7.340583683567588e-26
corn,-,pos,0.0006253358442336321,2.3587530449731275e-05
pumpkin,-,pos,7.109754508608165e-27,7.340583683567588e-26
saskatoon,-,pos,7.109754508608165e-27,7.340583683567588e-26
olive,-,neg,7.109754508608165e-27,7.340583683567588e-26
carrot,-,pos,7.109754508608165e-27,7.340583683567588e-26
jack,-,neg,1.6440981198684312e-05,3.0544902074325364e-06
pear,-,pos,7.109754508608165e-27,7.340583683567588e-26
desert,-,pos,7.109754508608165e-27,7.340583683567588e-26
yogurt,-,pos,7.109754508608165e-27,7.340583683567588e-26
mango,-,pos,7.109754508608165e-27,7.340583683567588e-26
peanut,-,pos,7.109754508608165e-27,7.340583683567588e-26
wintergreen,-,neg,7.109754508608165e-27,7.340583683567588e-26
sardine,-,neg,7.109754508608165e-27,7.340583683567588e-26
almond,-,pos,7.109754508608165e-27,7.340583683567588e-26
avocado,-,neg,7.109754508608165e-27,7.340583683567588e-26
veg,-,neg,7.109754508608165e-27,7.340583683567588e-26
loquat,-,pos,7.109754508608165e-27,7.340583683567588e-26
parsnip,-,pos,7.109754508608165e-27,7.340583683567588e-26
blueberry,-,pos,7.109754508608165e-27,7.340583683567588e-26
lemonade,-,pos,7.109754508608165e-27,7.340583683567588e-26
edda,-,neg,7.109754508608165e-27,7.340583683567588e-26
spinach,-,neg,7.109754508608165e-27,7.340583683567588e-26
soursop,-,pos,7.109754508608165e-27,7.340583683567588e-26
pulse,-,neg,7.109754508608165e-27,7.340583683567588e-26
grape,-,pos,7.109754508608165e-27,7.340583683567588e-26
chipotle,-,neg,7.109754508608165e-27,7.340583683567588e-26
cottonseed,-,neg,7.109754508608165e-27,7.340583683567588e-26
fruit,-,pos,3.107845986960456e-05,1.2370343029033393e-05
chilli,-,pos,7.109754508608165e-27,7.340583683567588e-26
pepperoni,-,neg,7.109754508608165e-27,7.340583683567588e-26
tabasco,-,pos,7.109754508608165e-27,7.340583683567588e-26
beetroot,-,pos,7.109754508608165e-27,7.340583683567588e-26
cheese,-,neg,7.109754508608165e-27,7.340583683567588e-26
achene,-,pos,7.109754508608165e-27,7.340583683567588e-26
tamarind,-,pos,7.109754508608165e-27,7.340583683567588e-26
breadfruit,-,pos,7.109754508608165e-27,7.340583683567588e-26
cider,-,pos,7.109754508608165e-27,7.340583683567588e-26
allspice,-,pos,7.109754508608165e-27,7.340583683567588e-26
cabbage,-,neg,7.109754508608165e-27,7.340583683567588e-26
strawberry,-,pos,7.109754508608165e-27,7.340583683567588e-26
iceberg,-,neg,7.109754508608165e-27,7.340583683567588e-26
doughnut,-,pos,7.109754508608165e-27,7.340583683567588e-26
nut,-,pos,4.522904873738298e-06,2.3728316591586918e-05
groundnut,-,pos,7.109754508608165e-27,7.340583683567588e-26
tangerine,-,pos,7.109754508608165e-27,7.340583683567588e-26
linseed,-,neg,7.109754508608165e-27,7.340583683567588e-26
pistachio,-,neg,7.109754508608165e-27,7.340583683567588e-26
spike,-,neg,7.109754508608165e-27,7.340583683567588e-26
