concept,prop_s,label,prob,prob_control
radish,-,neg,4.491986231808313e-27,7.340583683567588e-26
boot,-,neg,1.4411679330805782e-05,3.5755999761022395e-06
huckleberry,-,neg,4.491986231808313e-27,7.340583683567588e-26
piano,-,neg,4.491986231808313e-27,7.340583683567588e-26
grape,-,neg,4.491986231808313e-27,7.340583683567588e-26
bean,-,neg,2.5117426048382185e-05,3.842517344310181e-06
chocolate,-,neg,4.491986231808313e-27,7.340583683567588e-26
salad,-,neg,4.491986231808313e-27,7.340583683567588e-26
brick,-,neg,4.491986231808313e-27,7.340583683567588e-26
herb,-,neg,4.491986231808313e-27,7.340583683567588e-26
lime,-,neg,5.546730790229049e-06,1.11604595076642e-06
bee,-,pos,2.5699325760797365e-06,3.835283223452279e-06
daffodil,-,pos,4.491986231808313e-27,7.340583683567588e-26
car,-,neg,2.6613011868903413e-05,1.9342491214047186e-05
cheetah,-,pos,4.491986231808313e-27,7.340583683567588e-26
berry,-,neg,7.45026336517185e-05,2.7157679141964763e-05
clarinet,-,neg,4.491986231808313e-27,7.340583683567588e-26
frog,-,neg,9.347358172817621e-06,5.0334292609477416e-06
emerald,-,neg,4.491986231808313e-27,7.340583683567588e-26
serviceberry,-,neg,4.491986231808313e-27,7.340583683567588e-26
cricket,-,neg,4.491986231808313e-27,7.340583683567588e-26
walnut,-,neg,4.491986231808313e-27,7.340583683567588e-26
bus,-,pos,1.4549110346706584e-05,3.353627835167572e-05
cactus,-,neg,4.491986231808313e-27,7.340583683567588e-26
orange,-,neg,0.00015502647147513926,3.8038692764530424e-06
peacock,-,neg,4.491986231808313e-27,7.340583683567588e-26
crassula,-,neg,4.491986231808313e-27,7.340583683567588e-26
orchid,-,pos,4.491986231808313e-27,7.340583683567588e-26
water,-,neg,5.034278001403436e-05,7.842907507438213e-06
fir,-,neg,4.491986231808313e-27,7.340583683567588e-26
pansy,-,pos,4.491986231808313e-27,7.340583683567588e-26
bottle,-,neg,4.491986231808313e-27,7.340583683567588e-26
