concept,prop_s,label,prob,prob_control
freezer,cold,pos,0.02603919617831707,0.003018125658854842
atmosphere,cold,pos,0.057683564722537994,0.003018125658854842
vinyl,cold,pos,0.0004455299349501729,0.003018125658854842
basement,cold,pos,0.00230788579210639,0.003018125658854842
toe,cold,pos,0.00014241167809814215,0.003018125658854842
foam,cold,pos,0.007345092482864857,0.003018125658854842
cream,cold,pos,0.018781792372465134,0.003018125658854842
tea,cold,pos,0.13286632299423218,0.003018125658854842
cake,cold,pos,0.04109342396259308,0.003018125658854842
soda,cold,pos,0.15513701736927032,0.003018125658854842
winter,cold,pos,0.3614262342453003,0.003018125658854842
pie,cold,pos,0.024953899905085564,0.003018125658854842
tortilla,cold,pos,0.001343614305369556,0.003018125658854842
smoke,cold,neg,0.0015705808764323592,0.003018125658854842
pillow,cold,pos,0.024274738505482674,0.003018125658854842
glass,cold,pos,0.03253481537103653,0.003018125658854842
flame,cold,neg,0.005059142131358385,0.003018125658854842
dogwood,cold,pos,0.0019029249669983983,0.003018125658854842
kettle,cold,pos,0.10270693898200989,0.003018125658854842
milk,cold,pos,0.10117704421281815,0.003018125658854842
sky,cold,pos,0.001410038908943534,0.003018125658854842
heating,cold,neg,0.004508609883487225,0.003018125658854842
beer,cold,pos,0.10959786921739578,0.003018125658854842
casserole,cold,pos,0.006449633277952671,0.003018125658854842
steam,cold,neg,0.008951157331466675,0.003018125658854842
dust,cold,neg,0.0010750996880233288,0.003018125658854842
iceberg,cold,pos,0.007244108244776726,0.003018125658854842
summertime,cold,neg,0.07414648681879044,0.003018125658854842
tile,cold,neg,0.0021977219730615616,0.003018125658854842
bathtub,cold,pos,0.004089541267603636,0.003018125658854842
shoe,cold,pos,0.008475200273096561,0.003018125658854842
outfit,cold,neg,0.0007525140536017716,0.003018125658854842
water,cold,pos,0.11418820917606354,0.003018125658854842
fireplace,cold,pos,0.0044852737337350845,0.003018125658854842
surface,cold,pos,0.0016145706176757812,0.003018125658854842
rain,cold,pos,0.014280281029641628,0.003018125658854842
finger,cold,pos,0.015677690505981445,0.003018125658854842
problem,cold,neg,0.0007293302332982421,0.003018125658854842
lemonade,cold,pos,0.061143938452005386,0.003018125658854842
fridge,cold,pos,0.0026620980352163315,0.003018125658854842
heat,cold,neg,0.0013306133914738894,0.003018125658854842
lightning,cold,neg,0.0024904177989810705,0.003018125658854842
toilet,cold,pos,0.0031477874144911766,0.003018125658854842
pavement,cold,pos,0.00119820109102875,0.003018125658854842
hatred,cold,neg,0.005874515511095524,0.003018125658854842
puddle,cold,pos,0.0036237849853932858,0.003018125658854842
can,cold,pos,0.007467240560799837,0.003018125658854842
snow,cold,pos,0.042288172990083694,0.003018125658854842
ice,cold,pos,0.10252400487661362,0.003018125658854842
soup,cold,pos,0.11802562326192856,0.003018125658854842
juice,cold,pos,0.037870489060878754,0.003018125658854842
snowdrift,cold,pos,0.006730913650244474,0.003018125658854842
icicle,cold,pos,0.0006710008019581437,0.003018125658854842
toaster,cold,pos,0.05960505083203316,0.003018125658854842
oven,cold,pos,0.041602008044719696,0.003018125658854842
pomade,cold,neg,0.006482352502644062,0.003018125658854842
berry,cold,pos,0.0017845683032646775,0.003018125658854842
growler,cold,pos,0.001724520232528448,0.003018125658854842
snowbank,cold,pos,0.01870836690068245,0.003018125658854842
skin,cold,pos,0.006411141250282526,0.003018125658854842
coffee,cold,pos,0.08833016455173492,0.003018125658854842
people,cold,pos,0.0010958377970382571,0.003018125658854842
nose,cold,pos,0.0003001731529366225,0.003018125658854842
quesadilla,cold,neg,0.0029675199184566736,0.003018125658854842
mug,cold,pos,0.025608591735363007,0.003018125658854842
drink,cold,pos,0.08806968480348587,0.003018125658854842
sawdust,cold,neg,0.006520329508930445,0.003018125658854842
river,cold,pos,0.005254063755273819,0.003018125658854842
snowfall,cold,pos,0.00879789050668478,0.003018125658854842
eggshell,cold,pos,0.00054630555678159,0.003018125658854842
foot,cold,neg,0.0009670489234849811,0.003018125658854842
jungle,cold,neg,0.011231424286961555,0.003018125658854842
bath,cold,neg,0.01588272675871849,0.003018125658854842
slime,cold,pos,0.006046599242836237,0.003018125658854842
permafrost,cold,pos,0.009397766552865505,0.003018125658854842
popsicle,cold,pos,0.02724524587392807,0.003018125658854842
snowfield,cold,pos,0.016458379104733467,0.003018125658854842
bottle,cold,pos,0.011151166632771492,0.003018125658854842
vapor,cold,pos,0.01713801547884941,0.003018125658854842
mud,cold,pos,0.004478076472878456,0.003018125658854842
forepaw,cold,pos,6.543920608237386e-05,0.003018125658854842
hair,cold,pos,0.000165746605489403,0.003018125658854842
balloon,cold,pos,0.0007738893618807197,0.003018125658854842
candle,cold,pos,0.011810645461082458,0.003018125658854842
tummy,cold,neg,0.010214053094387054,0.003018125658854842
lava,cold,neg,0.0042527811601758,0.003018125658854842
idea,cold,neg,0.0007672850042581558,0.003018125658854842
rock,cold,pos,0.005603827070444822,0.003018125658854842
shelf,cold,pos,0.003375036409124732,0.003018125658854842
lip,cold,neg,0.00024094473337754607,0.003018125658854842
cheesecloth,cold,neg,0.015982333570718765,0.003018125658854842
sundae,cold,pos,0.0025910786353051662,0.003018125658854842
fire,cold,neg,0.002828194061294198,0.003018125658854842
curd,cold,pos,0.002656967844814062,0.003018125658854842
