concept,prop_s,label,prob,prob_control
morello,juicy,pos,9.335621143691242e-06,6.8180270318407565e-06
apricot,juicy,pos,0.001612949650734663,6.8180270318407565e-06
tangerine,juicy,pos,0.00018532873946242034,6.8180270318407565e-06
cantaloupe,juicy,pos,9.709397090773564e-06,6.8180270318407565e-06
lime,juicy,pos,0.0006949236267246306,6.8180270318407565e-06
juice,juicy,pos,0.0013261514250189066,6.8180270318407565e-06
scallop,juicy,pos,5.178820720175281e-05,6.8180270318407565e-06
emotion,juicy,neg,2.5108970476139802e-06,6.8180270318407565e-06
flavor,juicy,neg,0.0007913123117759824,6.8180270318407565e-06
pineapple,juicy,pos,0.002171073341742158,6.8180270318407565e-06
nut,juicy,neg,0.002476212102919817,6.8180270318407565e-06
steak,juicy,pos,0.002334913006052375,6.8180270318407565e-06
cucumber,juicy,pos,0.006160455755889416,6.8180270318407565e-06
pawpaw,juicy,pos,1.098888969863765e-05,6.8180270318407565e-06
calabash,juicy,pos,7.66231823945418e-06,6.8180270318407565e-06
fennel,juicy,neg,0.001255873590707779,6.8180270318407565e-06
linseed,juicy,neg,0.0002608142967801541,6.8180270318407565e-06
chicken,juicy,pos,0.0005519484402611852,6.8180270318407565e-06
mussel,juicy,neg,0.00017524874419905245,6.8180270318407565e-06
citron,juicy,pos,4.6806813770672306e-05,6.8180270318407565e-06
oregano,juicy,neg,0.000283143890555948,6.8180270318407565e-06
aubergine,juicy,pos,2.2860622266307473e-05,6.8180270318407565e-06
rumor,juicy,pos,7.233193628053414e-06,6.8180270318407565e-06
grapefruit,juicy,pos,0.0014766384847462177,6.8180270318407565e-06
fruit,juicy,pos,0.004353967495262623,6.8180270318407565e-06
sardine,juicy,pos,0.0005032404442317784,6.8180270318407565e-06
peanut,juicy,neg,0.002748003462329507,6.8180270318407565e-06
flageolet,juicy,neg,6.145321549411165e-07,6.8180270318407565e-06
cinnamon,juicy,neg,0.00044633986544795334,6.8180270318407565e-06
windfall,juicy,neg,9.227854206983466e-06,6.8180270318407565e-06
clementine,juicy,pos,2.463230339344591e-05,6.8180270318407565e-06
salad,juicy,pos,0.0002655077551025897,6.8180270318407565e-06
sorbet,juicy,pos,0.0006771038169972599,6.8180270318407565e-06
melon,juicy,pos,0.0027076583355665207,6.8180270318407565e-06
cookie,juicy,neg,0.0006290289456956089,6.8180270318407565e-06
