concept,prop_s,label,prob,prob_control
rattlesnake,eggs,pos,0.96670001745224,0.3861880898475647
capybara,eggs,neg,0.9748075604438782,0.3861880898475647
cow,eggs,neg,0.6940985321998596,0.3861880898475647
cock,eggs,neg,0.590764582157135,0.3861880898475647
felid,eggs,neg,0.9552558660507202,0.3861880898475647
trout,eggs,pos,0.9835855960845947,0.3861880898475647
bonobo,eggs,neg,0.9610221982002258,0.3861880898475647
micropterus,eggs,pos,0.9732422828674316,0.3861880898475647
ibex,eggs,neg,0.9909120798110962,0.3861880898475647
bronc,eggs,neg,0.9782333374023438,0.3861880898475647
linnet,eggs,pos,0.9506118893623352,0.3861880898475647
gyrfalcon,eggs,pos,0.9414622187614441,0.3861880898475647
timaliidae,eggs,pos,0.979861855506897,0.3861880898475647
icteridae,eggs,pos,0.8862216472625732,0.3861880898475647
egret,eggs,pos,0.9906434416770935,0.3861880898475647
apodidae,eggs,pos,0.9849482178688049,0.3861880898475647
smallmouth,eggs,pos,0.9863038659095764,0.3861880898475647
torpedo,eggs,neg,0.47333329916000366,0.3861880898475647
tortoise,eggs,pos,0.9783586859703064,0.3861880898475647
crow,eggs,pos,0.8911917805671692,0.3861880898475647
turtle,eggs,pos,0.9683631062507629,0.3861880898475647
neritidae,eggs,pos,0.9484610557556152,0.3861880898475647
redstart,eggs,pos,0.9795371294021606,0.3861880898475647
drum,eggs,neg,0.005477725062519312,0.3861880898475647
chow,eggs,neg,0.9453849792480469,0.3861880898475647
hackney,eggs,neg,0.000635447446256876,0.3861880898475647
stag,eggs,neg,0.8370569348335266,0.3861880898475647
malinois,eggs,neg,0.9653369188308716,0.3861880898475647
utahraptor,eggs,pos,0.9855102300643921,0.3861880898475647
flounder,eggs,pos,0.9607825875282288,0.3861880898475647
deer,eggs,neg,0.45510607957839966,0.3861880898475647
jade,eggs,neg,0.0005254693096503615,0.3861880898475647
whiff,eggs,neg,0.04372495040297508,0.3861880898475647
beaver,eggs,neg,0.9916025996208191,0.3861880898475647
painter,eggs,neg,0.0079110786318779,0.3861880898475647
sardine,eggs,pos,0.9439369440078735,0.3861880898475647
procellariidae,eggs,pos,0.9498705863952637,0.3861880898475647
hind,eggs,neg,0.7291394472122192,0.3861880898475647
currawong,eggs,pos,0.9342566132545471,0.3861880898475647
bulldog,eggs,neg,0.9945914149284363,0.3861880898475647
fringillidae,eggs,pos,0.9729089736938477,0.3861880898475647
albatross,eggs,pos,0.987467885017395,0.3861880898475647
avocet,eggs,pos,0.9656631946563721,0.3861880898475647
bushbaby,eggs,neg,0.9873231053352356,0.3861880898475647
phalacrocorax,eggs,pos,0.9879036545753479,0.3861880898475647
armadillo,eggs,neg,0.9488539695739746,0.3861880898475647
stickleback,eggs,pos,0.8936443328857422,0.3861880898475647
platypus,eggs,pos,0.9687321186065674,0.3861880898475647
acaridae,eggs,pos,0.9317045211791992,0.3861880898475647
yellowthroat,eggs,pos,0.9737396240234375,0.3861880898475647
giraffe,eggs,neg,0.19925330579280853,0.3861880898475647
bull,eggs,neg,0.9617120027542114,0.3861880898475647
leatherback,eggs,pos,0.0029102738481014967,0.3861880898475647
lepomis,eggs,pos,0.9612926840782166,0.3861880898475647
tanager,eggs,pos,0.9405840039253235,0.3861880898475647
creeper,eggs,pos,0.07473554462194443,0.3861880898475647
cob,eggs,neg,0.9694921970367432,0.3861880898475647
halibut,eggs,pos,0.9726192951202393,0.3861880898475647
curlew,eggs,pos,0.9026280641555786,0.3861880898475647
cony,eggs,neg,0.925639808177948,0.3861880898475647
trogon,eggs,pos,0.9853543043136597,0.3861880898475647
pompon,eggs,neg,0.9453945755958557,0.3861880898475647
clupeidae,eggs,pos,0.9638793468475342,0.3861880898475647
halfbeak,eggs,pos,0.9312198162078857,0.3861880898475647
mouser,eggs,neg,0.9749317169189453,0.3861880898475647
bass,eggs,pos,0.9477897882461548,0.3861880898475647
redhorse,eggs,neg,0.8813073039054871,0.3861880898475647
charadrius,eggs,pos,0.6440825462341309,0.3861880898475647
chicken,eggs,pos,0.058993544429540634,0.3861880898475647
salmon,eggs,pos,0.9838683605194092,0.3861880898475647
char,eggs,pos,0.9566780924797058,0.3861880898475647
pachyderm,eggs,neg,0.9883678555488586,0.3861880898475647
hen,eggs,pos,0.9708935618400574,0.3861880898475647
lynx,eggs,neg,0.9323567152023315,0.3861880898475647
stockfish,eggs,pos,0.9734643697738647,0.3861880898475647
motacilla,eggs,pos,0.9469343423843384,0.3861880898475647
hobby,eggs,neg,0.9772326350212097,0.3861880898475647
plaice,eggs,pos,0.713189959526062,0.3861880898475647
whippet,eggs,neg,0.9679177403450012,0.3861880898475647
chamois,eggs,neg,0.9771564602851868,0.3861880898475647
whitethroat,eggs,pos,0.9601309895515442,0.3861880898475647
leopard,eggs,neg,0.9497951865196228,0.3861880898475647
layer,eggs,neg,0.5160858035087585,0.3861880898475647
humankind,eggs,neg,0.014975588768720627,0.3861880898475647
hare,eggs,neg,0.9447513818740845,0.3861880898475647
human,eggs,neg,0.00259590707719326,0.3861880898475647
addax,eggs,neg,0.8900584578514099,0.3861880898475647
roach,eggs,pos,0.9765928983688354,0.3861880898475647
blackbuck,eggs,neg,0.2653850317001343,0.3861880898475647
calidris,eggs,pos,0.8827332854270935,0.3861880898475647
duck,eggs,pos,0.9741942882537842,0.3861880898475647
quail,eggs,pos,0.8248521089553833,0.3861880898475647
syngnathidae,eggs,pos,0.9105187058448792,0.3861880898475647
cotingidae,eggs,pos,0.9686449766159058,0.3861880898475647
permit,eggs,neg,0.001847052131779492,0.3861880898475647
muskrat,eggs,neg,0.9612587690353394,0.3861880898475647
howler,eggs,neg,0.975016713142395,0.3861880898475647
toadfish,eggs,pos,0.9690425395965576,0.3861880898475647
turkey,eggs,pos,0.9875319600105286,0.3861880898475647
skate,eggs,neg,0.9913318157196045,0.3861880898475647
pointer,eggs,neg,0.4550137519836426,0.3861880898475647
hack,eggs,neg,0.22964365780353546,0.3861880898475647
drill,eggs,neg,0.3741154968738556,0.3861880898475647
typhlopidae,eggs,pos,0.954347550868988,0.3861880898475647
paridae,eggs,pos,0.9869263172149658,0.3861880898475647
eland,eggs,neg,0.9486234784126282,0.3861880898475647
mangabey,eggs,neg,0.9454232454299927,0.3861880898475647
lark,eggs,pos,0.7497734427452087,0.3861880898475647
packhorse,eggs,neg,0.0006071724346838892,0.3861880898475647
grade,eggs,neg,0.001711918623186648,0.3861880898475647
robin,eggs,pos,0.9642255306243896,0.3861880898475647
stork,eggs,pos,0.9807189702987671,0.3861880898475647
cuscus,eggs,neg,0.9368669986724854,0.3861880898475647
coypu,eggs,neg,0.9908000826835632,0.3861880898475647
pickerel,eggs,pos,0.9635302424430847,0.3861880898475647
mole,eggs,neg,0.9577523469924927,0.3861880898475647
roebuck,eggs,neg,0.9404299855232239,0.3861880898475647
mankind,eggs,neg,0.013310344889760017,0.3861880898475647
viscacha,eggs,neg,0.9673551917076111,0.3861880898475647
gnu,eggs,neg,0.21892395615577698,0.3861880898475647
psittacula,eggs,pos,0.917345404624939,0.3861880898475647
pleuronectidae,eggs,pos,0.9541130661964417,0.3861880898475647
grackle,eggs,pos,0.49308907985687256,0.3861880898475647
equine,eggs,neg,0.9032151699066162,0.3861880898475647
sheep,eggs,neg,0.8238571882247925,0.3861880898475647
tropicbird,eggs,pos,0.9765491485595703,0.3861880898475647
puss,eggs,neg,0.976796567440033,0.3861880898475647
whale,eggs,neg,0.9646795392036438,0.3861880898475647
emberizidae,eggs,pos,0.8426637649536133,0.3861880898475647
strigidae,eggs,pos,0.9629883766174316,0.3861880898475647
pipefish,eggs,pos,0.9688949584960938,0.3861880898475647
moose,eggs,neg,0.9838256239891052,0.3861880898475647
pintail,eggs,pos,0.9215657114982605,0.3861880898475647
crocodile,eggs,pos,0.9615440368652344,0.3861880898475647
crane,eggs,pos,0.9792833924293518,0.3861880898475647
tabby,eggs,neg,0.9857829809188843,0.3861880898475647
collie,eggs,neg,0.9605594277381897,0.3861880898475647
mosquitofish,eggs,pos,0.9840754866600037,0.3861880898475647
pig,eggs,neg,0.7738364934921265,0.3861880898475647
world,eggs,neg,0.003035333240404725,0.3861880898475647
haliaeetus,eggs,pos,0.8632268309593201,0.3861880898475647
laridae,eggs,pos,0.969863772392273,0.3861880898475647
lemming,eggs,neg,0.009351544082164764,0.3861880898475647
merganser,eggs,pos,0.9871078133583069,0.3861880898475647
merino,eggs,neg,0.9828108549118042,0.3861880898475647
