concept,prop_s,label,prob,prob_control
cloak,warm,pos,0.02153031900525093,0.0019990489818155766
vinyl,warm,pos,0.00016700515698175877,0.0019990489818155766
surcoat,warm,pos,0.00019280727428849787,0.0019990489818155766
sun,warm,pos,0.005466848146170378,0.0019990489818155766
basement,warm,pos,0.00044946561683900654,0.0019990489818155766
cummerbund,warm,neg,0.00010537046910030767,0.0019990489818155766
chiffon,warm,pos,0.0008012381731532514,0.0019990489818155766
scarf,warm,pos,0.0011996792163699865,0.0019990489818155766
necktie,warm,pos,0.000283997505903244,0.0019990489818155766
vest,warm,pos,0.0015174613799899817,0.0019990489818155766
beer,warm,neg,0.012401241809129715,0.0019990489818155766
parka,warm,pos,0.0003227372362744063,0.0019990489818155766
corset,warm,pos,0.00032503108377568424,0.0019990489818155766
icicle,warm,neg,0.00019874989811796695,0.0019990489818155766
poncho,warm,pos,0.0007837053271941841,0.0019990489818155766
overcoat,warm,pos,0.004239771980792284,0.0019990489818155766
jean,warm,pos,0.0005403575487434864,0.0019990489818155766
bag,warm,neg,0.004876554943621159,0.0019990489818155766
wig,warm,pos,0.0005790551076643169,0.0019990489818155766
deerskin,warm,pos,0.0010921239154413342,0.0019990489818155766
heat,warm,pos,0.0018143067136406898,0.0019990489818155766
lace,warm,neg,0.00025106885004788637,0.0019990489818155766
cassock,warm,pos,0.00022527307737618685,0.0019990489818155766
soup,warm,pos,0.014945761300623417,0.0019990489818155766
uniform,warm,pos,0.00016780920850578696,0.0019990489818155766
water,warm,pos,0.06984046846628189,0.0019990489818155766
forest,warm,neg,0.002513296203687787,0.0019990489818155766
coverall,warm,pos,0.0031073030550032854,0.0019990489818155766
people,warm,pos,0.0006171237328089774,0.0019990489818155766
tea,warm,pos,0.020633457228541374,0.0019990489818155766
turtleneck,warm,pos,0.00023844660609029233,0.0019990489818155766
dress,warm,pos,0.0019453144632279873,0.0019990489818155766
cuff,warm,neg,0.0008785061072558165,0.0019990489818155766
galosh,warm,pos,0.010434357449412346,0.0019990489818155766
outfit,warm,pos,0.00117211090400815,0.0019990489818155766
tile,warm,pos,0.0005167843773961067,0.0019990489818155766
cloth,warm,pos,0.009199587628245354,0.0019990489818155766
atmosphere,warm,pos,0.06047232821583748,0.0019990489818155766
slipper,warm,pos,0.00273040309548378,0.0019990489818155766
pyjama,warm,pos,0.00018487742636352777,0.0019990489818155766
flannel,warm,pos,0.005511192604899406,0.0019990489818155766
jacket,warm,pos,0.0022644258569926023,0.0019990489818155766
surfboard,warm,neg,0.0010245864978060126,0.0019990489818155766
collar,warm,neg,6.709359149681404e-05,0.0019990489818155766
telephone,warm,neg,0.0003770885232370347,0.0019990489818155766
hat,warm,pos,0.0007463441579602659,0.0019990489818155766
bikini,warm,neg,0.00011348371481290087,0.0019990489818155766
blanket,warm,pos,0.06643518805503845,0.0019990489818155766
tunic,warm,pos,0.001152831013314426,0.0019990489818155766
garter,warm,neg,0.0002474574721418321,0.0019990489818155766
mitten,warm,pos,0.0010164487175643444,0.0019990489818155766
undershirt,warm,pos,0.0009501558961346745,0.0019990489818155766
loincloth,warm,pos,0.002392157446593046,0.0019990489818155766
glove,warm,pos,0.03111099638044834,0.0019990489818155766
suit,warm,pos,0.001788970548659563,0.0019990489818155766
calfskin,warm,pos,0.0019238126697018743,0.0019990489818155766
footwear,warm,pos,0.00042496176320128143,0.0019990489818155766
jumpsuit,warm,pos,0.004646404180675745,0.0019990489818155766
dad,warm,pos,0.00027528713690117,0.0019990489818155766
grosgrain,warm,neg,0.0005080450791865587,0.0019990489818155766
nose,warm,pos,2.4652148567838594e-05,0.0019990489818155766
bandana,warm,neg,0.0006851804791949689,0.0019990489818155766
attire,warm,pos,0.0002665926585905254,0.0019990489818155766
headdress,warm,pos,9.308999142376706e-05,0.0019990489818155766
stocking,warm,pos,0.0008297396707348526,0.0019990489818155766
bed,warm,pos,0.010666207410395145,0.0019990489818155766
sandal,warm,pos,0.00040285286377184093,0.0019990489818155766
sealskin,warm,pos,0.000868269067723304,0.0019990489818155766
miniskirt,warm,neg,0.00017887010471895337,0.0019990489818155766
topcoat,warm,pos,0.0005501359701156616,0.0019990489818155766
feeling,warm,neg,0.0004389379173517227,0.0019990489818155766
sunglass,warm,pos,0.00031625782139599323,0.0019990489818155766
coffee,warm,pos,0.019263720139861107,0.0019990489818155766
bootie,warm,pos,0.005893845576792955,0.0019990489818155766
garment,warm,pos,0.006768722552806139,0.0019990489818155766
sweater,warm,pos,0.006152031943202019,0.0019990489818155766
waistcoat,warm,pos,0.0009076856658793986,0.0019990489818155766
pantie,warm,pos,0.0002982239820994437,0.0019990489818155766
sword,warm,neg,0.0015475440304726362,0.0019990489818155766
wool,warm,pos,0.0018554108683019876,0.0019990489818155766
frock,warm,pos,0.0008450713939964771,0.0019990489818155766
waist,warm,pos,0.00019319257989991456,0.0019990489818155766
feather,warm,pos,0.0003976356820203364,0.0019990489818155766
kimono,warm,pos,0.0015184516087174416,0.0019990489818155766
robe,warm,pos,0.012432429939508438,0.0019990489818155766
epaulet,warm,neg,6.502660107798874e-05,0.0019990489818155766
towel,warm,pos,0.021987978368997574,0.0019990489818155766
fridge,warm,neg,0.0012104519410058856,0.0019990489818155766
handkerchief,warm,neg,0.005573692731559277,0.0019990489818155766
helmet,warm,pos,0.0002778278721962124,0.0019990489818155766
underwear,warm,pos,0.0011637876741588116,0.0019990489818155766
mortarboard,warm,neg,0.0002600144944153726,0.0019990489818155766
blouse,warm,pos,0.0003338581882417202,0.0019990489818155766
comforter,warm,pos,0.013549543917179108,0.0019990489818155766
denim,warm,pos,0.0041091106832027435,0.0019990489818155766
bathrobe,warm,pos,0.00048134595272131264,0.0019990489818155766
head,warm,pos,9.806066373130307e-05,0.0019990489818155766
river,warm,pos,0.0004191719926893711,0.0019990489818155766
leotard,warm,pos,0.00011522183922352269,0.0019990489818155766
costume,warm,pos,0.0003536140429787338,0.0019990489818155766
legging,warm,pos,0.001917832880280912,0.0019990489818155766
nightgown,warm,pos,0.038959406316280365,0.0019990489818155766
shoe,warm,pos,0.006155542563647032,0.0019990489818155766
gown,warm,pos,0.0013666371814906597,0.0019990489818155766
sheepskin,warm,pos,0.0012596967862918973,0.0019990489818155766
taffeta,warm,pos,0.0004518214554991573,0.0019990489818155766
bodice,warm,pos,6.286402640398592e-05,0.0019990489818155766
toe,warm,pos,1.7120313714258373e-05,0.0019990489818155766
salwar,warm,pos,0.0004359447048045695,0.0019990489818155766
