concept,prop_s,label,prob,prob_control
wren,swam,neg,1.4856894381409802e-08,6.117564907981432e-07
perch,swam,pos,4.2884053982561454e-05,6.117564907981432e-07
whiting,swam,pos,7.1794311224948615e-06,6.117564907981432e-07
duck,swam,pos,6.333968940452905e-06,6.117564907981432e-07
deer,swam,pos,4.7034521344357927e-07,6.117564907981432e-07
canary,swam,neg,2.629214554406012e-11,6.117564907981432e-07
eagle,swam,neg,9.309803772339365e-07,6.117564907981432e-07
capelin,swam,pos,1.9779007232045842e-07,6.117564907981432e-07
cat,swam,pos,1.5948313375702128e-05,6.117564907981432e-07
mammal,swam,pos,2.801934725904509e-11,6.117564907981432e-07
robin,swam,neg,3.1485525298080574e-09,6.117564907981432e-07
vervet,swam,pos,1.1377555892977398e-06,6.117564907981432e-07
whale,swam,pos,8.633758625364862e-06,6.117564907981432e-07
otter,swam,pos,7.640732656000182e-05,6.117564907981432e-07
stockfish,swam,pos,1.2399244951666333e-05,6.117564907981432e-07
duckling,swam,pos,7.761147571727633e-05,6.117564907981432e-07
goldeneye,swam,pos,1.2517942877821042e-06,6.117564907981432e-07
bulldog,swam,pos,1.8587229533295613e-07,6.117564907981432e-07
chameleon,swam,neg,2.529799587591697e-07,6.117564907981432e-07
owl,swam,neg,4.272684236639179e-06,6.117564907981432e-07
shark,swam,pos,1.948509998328518e-05,6.117564907981432e-07
sheldrake,swam,pos,4.237144253238512e-07,6.117564907981432e-07
primate,swam,pos,9.649604670869394e-09,6.117564907981432e-07
sparrow,swam,neg,1.818923465179978e-07,6.117564907981432e-07
blenny,swam,pos,2.0616050733224256e-06,6.117564907981432e-07
buzzard,swam,neg,1.0914512131421361e-05,6.117564907981432e-07
guppy,swam,pos,1.5655492461519316e-05,6.117564907981432e-07
thornbill,swam,neg,1.508808850303467e-06,6.117564907981432e-07
beef,swam,neg,8.7349269506376e-07,6.117564907981432e-07
partridge,swam,neg,3.0213413992896676e-09,6.117564907981432e-07
shrimp,swam,pos,0.0003412524238228798,6.117564907981432e-07
lark,swam,neg,9.881244295684155e-06,6.117564907981432e-07
herring,swam,pos,1.5519524822593667e-05,6.117564907981432e-07
loach,swam,pos,1.5640789570170455e-05,6.117564907981432e-07
lapwing,swam,neg,4.630491730495123e-06,6.117564907981432e-07
puppy,swam,pos,3.09111965179909e-05,6.117564907981432e-07
cod,swam,pos,3.5036962344747735e-06,6.117564907981432e-07
bottlenose,swam,pos,6.7307109929970466e-06,6.117564907981432e-07
frog,swam,pos,1.693756894383114e-05,6.117564907981432e-07
bluefish,swam,pos,2.39717719523469e-05,6.117564907981432e-07
scaup,swam,pos,3.534233599111758e-07,6.117564907981432e-07
coho,swam,pos,2.727406354097184e-07,6.117564907981432e-07
lion,swam,neg,3.837543260942766e-08,6.117564907981432e-07
crow,swam,neg,1.515090161774424e-06,6.117564907981432e-07
chamois,swam,neg,2.4035216483753175e-05,6.117564907981432e-07
skylark,swam,neg,3.332679057166388e-07,6.117564907981432e-07
mouse,swam,pos,1.7846698028733954e-05,6.117564907981432e-07
bloodhound,swam,pos,1.4228868394638994e-07,6.117564907981432e-07
catfish,swam,pos,5.7099801779258996e-05,6.117564907981432e-07
glutton,swam,pos,7.304821991738208e-08,6.117564907981432e-07
armadillo,swam,pos,3.549408938852139e-05,6.117564907981432e-07
cobia,swam,pos,2.9011225706199184e-06,6.117564907981432e-07
llama,swam,neg,2.1395680960267782e-07,6.117564907981432e-07
mankind,swam,pos,1.7770993565591198e-07,6.117564907981432e-07
toucanet,swam,neg,1.6747306972320075e-06,6.117564907981432e-07
dunnock,swam,neg,1.1820028333886512e-07,6.117564907981432e-07
sardine,swam,pos,2.0131274141022004e-06,6.117564907981432e-07
springbok,swam,neg,3.199032505563082e-08,6.117564907981432e-07
