concept,prop_s,label,prob,prob_control
trawler,wheels,neg,3.0197932574083097e-05,0.0006016582483425736
jeep,wheels,pos,0.012022130191326141,0.0006016582483425736
bus,wheels,pos,0.0138468686491251,0.0006016582483425736
oxcart,wheels,pos,0.015733269974589348,0.0006016582483425736
sleigh,wheels,neg,0.03554625064134598,0.0006016582483425736
motorcycle,wheels,pos,0.09960104525089264,0.0006016582483425736
streamliner,wheels,pos,0.004632245283573866,0.0006016582483425736
minivan,wheels,pos,0.19057969748973846,0.0006016582483425736
sidecar,wheels,pos,0.24628537893295288,0.0006016582483425736
chassis,wheels,pos,0.1184423565864563,0.0006016582483425736
tram,wheels,pos,0.006782321259379387,0.0006016582483425736
wagon,wheels,pos,0.11821213364601135,0.0006016582483425736
truck,wheels,pos,0.00679861381649971,0.0006016582483425736
backhoe,wheels,pos,0.0008911299519240856,0.0006016582483425736
heap,wheels,neg,0.0006726537249051034,0.0006016582483425736
windshield,wheels,neg,2.06446220545331e-05,0.0006016582483425736
train,wheels,pos,0.0014375501777976751,0.0006016582483425736
racer,wheels,pos,0.0007616542279720306,0.0006016582483425736
piton,wheels,neg,0.0012350133620202541,0.0006016582483425736
stanhope,wheels,pos,0.0006695262854918838,0.0006016582483425736
phaeton,wheels,pos,0.002649636473506689,0.0006016582483425736
bike,wheels,pos,0.11278291046619415,0.0006016582483425736
auto,wheels,pos,0.00898866169154644,0.0006016582483425736
bicycle,wheels,pos,0.06782666593790054,0.0006016582483425736
ship,wheels,neg,0.00016235464136116207,0.0006016582483425736
lorry,wheels,pos,0.0008403879473917186,0.0006016582483425736
wheelbase,wheels,pos,0.0006511464016512036,0.0006016582483425736
diesel,wheels,neg,0.0008123992010951042,0.0006016582483425736
ambulance,wheels,pos,3.12688025587704e-05,0.0006016582483425736
hearse,wheels,pos,0.00011576557153603062,0.0006016582483425736
streetcar,wheels,pos,0.028558935970067978,0.0006016582483425736
machine,wheels,pos,0.000182445757673122,0.0006016582483425736
dumper,wheels,pos,0.0224212147295475,0.0006016582483425736
van,wheels,pos,0.013638317584991455,0.0006016582483425736
cat,wheels,neg,0.00011948162136832252,0.0006016582483425736
cabriolet,wheels,pos,0.08199793845415115,0.0006016582483425736
tugboat,wheels,neg,0.0007936545298434794,0.0006016582483425736
winch,wheels,neg,0.0018084390321746469,0.0006016582483425736
vehicle,wheels,pos,0.048245664685964584,0.0006016582483425736
runabout,wheels,pos,0.010123143903911114,0.0006016582483425736
trailer,wheels,pos,0.01812095008790493,0.0006016582483425736
coach,wheels,pos,5.616566340904683e-05,0.0006016582483425736
automobile,wheels,pos,0.024083083495497704,0.0006016582483425736
tramcar,wheels,pos,0.08537155389785767,0.0006016582483425736
boat,wheels,neg,0.010943069122731686,0.0006016582483425736
equipage,wheels,pos,5.7536355598131195e-05,0.0006016582483425736
snowplow,wheels,pos,0.001726553775370121,0.0006016582483425736
garage,wheels,pos,0.0005289330147206783,0.0006016582483425736
driver,wheels,neg,0.00011120548151666299,0.0006016582483425736
footrest,wheels,pos,0.005420013330876827,0.0006016582483425736
car,wheels,pos,0.049889903515577316,0.0006016582483425736
unicycle,wheels,pos,0.012213313020765781,0.0006016582483425736
tank,wheels,pos,0.1254657506942749,0.0006016582483425736
motorbike,wheels,pos,0.07931455224752426,0.0006016582483425736
bogie,wheels,pos,0.007087318692356348,0.0006016582483425736
diner,wheels,neg,0.00043032929534092546,0.0006016582483425736
packhorse,wheels,neg,0.0003804026055149734,0.0006016582483425736
dray,wheels,pos,0.0017776525346562266,0.0006016582483425736
