concept,prop_s,label,prob,prob_control
woodpecker,black,pos,1.4945285897738358e-07,1.7339427671458907e-08
millipede,black,pos,2.2544977440475122e-08,1.7339427671458907e-08
peacock,black,neg,3.747572918655351e-07,1.7339427671458907e-08
dogbane,black,neg,7.91163165558828e-06,1.7339427671458907e-08
sand,black,neg,6.525687581415696e-07,1.7339427671458907e-08
dress,black,pos,5.824009576826938e-07,1.7339427671458907e-08
sapsucker,black,pos,9.411439805262489e-08,1.7339427671458907e-08
snake,black,pos,4.754498093006987e-07,1.7339427671458907e-08
tar,black,pos,4.7078128773136996e-06,1.7339427671458907e-08
hair,black,pos,8.385455885218107e-08,1.7339427671458907e-08
radish,black,neg,5.008996595279314e-07,1.7339427671458907e-08
gown,black,pos,5.351370191419846e-07,1.7339427671458907e-08
recorder,black,pos,7.25010025348638e-08,1.7339427671458907e-08
tyre,black,pos,1.274979588572478e-08,1.7339427671458907e-08
combretum,black,neg,4.3884463707399846e-07,1.7339427671458907e-08
weed,black,neg,9.262162592449386e-08,1.7339427671458907e-08
acaridae,black,pos,8.113708105383921e-08,1.7339427671458907e-08
pupil,black,pos,1.2158824347352493e-07,1.7339427671458907e-08
fox,black,neg,1.75829129034355e-07,1.7339427671458907e-08
pit,black,pos,1.4844413698256176e-08,1.7339427671458907e-08
currawong,black,pos,1.3421574962535487e-08,1.7339427671458907e-08
glass,black,pos,5.973177508167282e-08,1.7339427671458907e-08
rat,black,pos,6.700672088300053e-07,1.7339427671458907e-08
supermarket,black,neg,4.3896400403475866e-10,1.7339427671458907e-08
cloud,black,pos,9.293799507759104e-09,1.7339427671458907e-08
balloon,black,pos,6.984456124570215e-09,1.7339427671458907e-08
market,black,pos,3.0109902127151145e-08,1.7339427671458907e-08
heart,black,neg,1.9965716546721524e-07,1.7339427671458907e-08
dolphin,black,neg,2.3046646902002976e-07,1.7339427671458907e-08
weasel,black,pos,1.6073671815775015e-07,1.7339427671458907e-08
frog,black,neg,4.300720490846288e-07,1.7339427671458907e-08
cherry,black,pos,7.43813544090699e-08,1.7339427671458907e-08
avocado,black,neg,7.091560405569908e-08,1.7339427671458907e-08
night,black,pos,8.154174224728195e-08,1.7339427671458907e-08
lime,black,neg,4.2605179828569817e-07,1.7339427671458907e-08
coatis,black,pos,2.6982218059856677e-06,1.7339427671458907e-08
beetle,black,pos,1.0961443877022248e-06,1.7339427671458907e-08
human,black,pos,6.241062777689876e-08,1.7339427671458907e-08
onion,black,neg,3.138583792861027e-07,1.7339427671458907e-08
opossum,black,pos,6.752788408448396e-07,1.7339427671458907e-08
football,black,pos,5.079985498923634e-08,1.7339427671458907e-08
suit,black,pos,9.782833103599842e-07,1.7339427671458907e-08
miner,black,pos,3.6286088800352445e-08,1.7339427671458907e-08
rice,black,neg,1.497889456913981e-07,1.7339427671458907e-08
pig,black,pos,3.291524421911163e-07,1.7339427671458907e-08
cat,black,pos,4.4049389202882594e-07,1.7339427671458907e-08
fir,black,neg,7.21254650670744e-07,1.7339427671458907e-08
echinocereus,black,neg,1.530079771328019e-06,1.7339427671458907e-08
honey,black,neg,3.451108341323561e-07,1.7339427671458907e-08
viscacha,black,neg,1.580286408398024e-07,1.7339427671458907e-08
butter,black,neg,9.858931093731371e-08,1.7339427671458907e-08
monkey,black,pos,4.832900231122039e-07,1.7339427671458907e-08
ketchup,black,neg,7.428494797068197e-08,1.7339427671458907e-08
toucanet,black,neg,1.3646082379636937e-06,1.7339427671458907e-08
beet,black,neg,4.162198479207291e-07,1.7339427671458907e-08
giraffe,black,neg,1.0190772314899732e-07,1.7339427671458907e-08
parrot,black,neg,2.8444620170375856e-07,1.7339427671458907e-08
truffle,black,pos,3.533100709773862e-07,1.7339427671458907e-08
jade,black,neg,2.2193489712662995e-06,1.7339427671458907e-08
hornet,black,pos,5.290113449518685e-07,1.7339427671458907e-08
raccoon,black,pos,6.722500245359697e-08,1.7339427671458907e-08
crassula,black,neg,4.949205845150573e-07,1.7339427671458907e-08
pea,black,pos,2.326459934920422e-06,1.7339427671458907e-08
paint,black,pos,1.7535300003146403e-06,1.7339427671458907e-08
hose,black,pos,1.4117680358083362e-08,1.7339427671458907e-08
olive,black,pos,6.612760444113519e-06,1.7339427671458907e-08
cockroach,black,pos,9.687720137208089e-08,1.7339427671458907e-08
paridae,black,pos,1.6248249323780328e-07,1.7339427671458907e-08
lantern,black,pos,1.0045542353509518e-07,1.7339427671458907e-08
bat,black,pos,9.099230737774633e-07,1.7339427671458907e-08
tomato,black,neg,3.1700841418569325e-07,1.7339427671458907e-08
umbrella,black,pos,1.9137385010026264e-08,1.7339427671458907e-08
insect,black,pos,1.5566512274745037e-06,1.7339427671458907e-08
bottle,black,neg,2.9777176280276763e-08,1.7339427671458907e-08
raspberry,black,neg,1.677476006989309e-07,1.7339427671458907e-08
grape,black,pos,2.9520492716983426e-07,1.7339427671458907e-08
gherkin,black,neg,1.0578460205579177e-06,1.7339427671458907e-08
blackboard,black,pos,2.5235065095330356e-06,1.7339427671458907e-08
