concept,prop_s,label,prob,prob_control
world,green,pos,1.328816701118285e-08,2.08455142036712e-09
night,green,neg,3.0539073492263924e-08,2.08455142036712e-09
avocado,green,pos,1.1716558674379485e-06,2.08455142036712e-09
salad,green,pos,8.074333379681775e-08,2.08455142036712e-09
plantain,green,pos,4.6075278078205884e-05,2.08455142036712e-09
chive,green,pos,1.4640536392107606e-06,2.08455142036712e-09
diamond,green,neg,1.2833227458486363e-07,2.08455142036712e-09
grapefruit,green,pos,8.70433450472774e-06,2.08455142036712e-09
melon,green,pos,4.4164502810417616e-07,2.08455142036712e-09
asparagus,green,pos,2.215842414443614e-06,2.08455142036712e-09
wine,green,neg,3.8273111613307265e-07,2.08455142036712e-09
dress,green,pos,8.954461350185738e-08,2.08455142036712e-09
pear,green,pos,5.938836693530902e-06,2.08455142036712e-09
radish,green,pos,1.546902785776183e-05,2.08455142036712e-09
aubergine,green,neg,2.692641146495589e-06,2.08455142036712e-09
giraffe,green,neg,9.750680618481056e-08,2.08455142036712e-09
grape,green,pos,1.8550248569226824e-05,2.08455142036712e-09
sycamore,green,pos,2.5730099878273904e-05,2.08455142036712e-09
mushroom,green,neg,4.0089289541356266e-06,2.08455142036712e-09
tank,green,pos,2.2649549791253776e-08,2.08455142036712e-09
lion,green,neg,1.7203269919718878e-08,2.08455142036712e-09
tongue,green,neg,8.408487701672129e-07,2.08455142036712e-09
brick,green,neg,6.28239263278374e-07,2.08455142036712e-09
piano,green,neg,8.075052626566048e-09,2.08455142036712e-09
cherry,green,neg,7.071847676343168e-07,2.08455142036712e-09
budgie,green,pos,1.3832728029683494e-07,2.08455142036712e-09
lime,green,pos,1.2348322343314067e-05,2.08455142036712e-09
garlic,green,neg,6.433535872929497e-06,2.08455142036712e-09
eucalyptus,green,pos,0.00017029726586770266,2.08455142036712e-09
glass,green,pos,7.277815683437439e-08,2.08455142036712e-09
buttercup,green,neg,1.021683260660211e-06,2.08455142036712e-09
stocking,green,pos,6.907632688069043e-09,2.08455142036712e-09
guava,green,pos,3.680560666907695e-06,2.08455142036712e-09
seaweed,green,pos,1.7954014765564352e-05,2.08455142036712e-09
lavandula,green,neg,2.5884337446768768e-05,2.08455142036712e-09
argument,green,neg,2.175744810983815e-07,2.08455142036712e-09
flame,green,neg,1.699848581893093e-07,2.08455142036712e-09
iguana,green,pos,3.5632133403851185e-06,2.08455142036712e-09
sand,green,neg,1.2394532404869096e-06,2.08455142036712e-09
cricket,green,pos,7.368111454297832e-08,2.08455142036712e-09
rhubarb,green,pos,9.190694072458427e-06,2.08455142036712e-09
leafs,green,pos,0.0001924314274219796,2.08455142036712e-09
leopard,green,neg,1.3056013870027527e-07,2.08455142036712e-09
crypt,green,neg,1.6373929767610207e-08,2.08455142036712e-09
ring,green,pos,1.6940820302124848e-08,2.08455142036712e-09
fruit,green,pos,3.3749997783161234e-06,2.08455142036712e-09
galangal,green,neg,7.487809625672526e-07,2.08455142036712e-09
