concept,prop_s,label,prob,prob_control
lumber,wood,pos,0.00013785972259938717,7.520396320614964e-05
dowel,wood,pos,5.226022767601535e-05,7.520396320614964e-05
pulley,wood,neg,9.344847057946026e-05,7.520396320614964e-05
sword,wood,neg,0.0001003078868961893,7.520396320614964e-05
railing,wood,pos,9.153996506938711e-05,7.520396320614964e-05
binnacle,wood,pos,7.111970626283437e-05,7.520396320614964e-05
wood,wood,pos,9.449644858250394e-05,7.520396320614964e-05
rafter,wood,pos,6.494281842606142e-05,7.520396320614964e-05
ladle,wood,pos,4.0978957258630544e-05,7.520396320614964e-05
bedstead,wood,pos,0.0004156532231718302,7.520396320614964e-05
wire,wood,neg,1.5205633644654881e-05,7.520396320614964e-05
grommet,wood,pos,1.6734868040657602e-05,7.520396320614964e-05
rock,wood,neg,2.944241168734152e-05,7.520396320614964e-05
pencil,wood,pos,3.958576053264551e-05,7.520396320614964e-05
plywood,wood,pos,0.0003932845429517329,7.520396320614964e-05
paddle,wood,pos,4.5430173486238346e-05,7.520396320614964e-05
soffit,wood,pos,5.619647345156409e-05,7.520396320614964e-05
hardboard,wood,pos,0.00013883710198570043,7.520396320614964e-05
chimney,wood,neg,6.97654759278521e-05,7.520396320614964e-05
board,wood,pos,2.0572468883983674e-07,7.520396320614964e-05
trestle,wood,pos,0.00021557952277362347,7.520396320614964e-05
transom,wood,pos,2.6462475943844765e-05,7.520396320614964e-05
pen,wood,neg,4.938641359331086e-05,7.520396320614964e-05
clapboard,wood,pos,0.000154446970555,7.520396320614964e-05
chock,wood,pos,4.21024851675611e-05,7.520396320614964e-05
outrigger,wood,pos,4.8197103751590475e-05,7.520396320614964e-05
chamfer,wood,pos,5.662604235112667e-05,7.520396320614964e-05
eyelet,wood,neg,1.9302950022392906e-05,7.520396320614964e-05
barrel,wood,pos,2.3188464183476754e-05,7.520396320614964e-05
bow,wood,pos,0.00014334548905026168,7.520396320614964e-05
fence,wood,pos,8.374750177608803e-05,7.520396320614964e-05
ferrule,wood,pos,2.603226494102273e-05,7.520396320614964e-05
centreboard,wood,pos,0.00010445543011883274,7.520396320614964e-05
corkscrew,wood,pos,3.200655919499695e-05,7.520396320614964e-05
roof,wood,pos,0.00010268591722706333,7.520396320614964e-05
spade,wood,pos,7.247435860335827e-05,7.520396320614964e-05
deal,wood,neg,7.275052212207811e-06,7.520396320614964e-05
clock,wood,pos,4.262127913534641e-05,7.520396320614964e-05
kayak,wood,pos,4.5044256694382057e-05,7.520396320614964e-05
aerator,wood,pos,2.6382500436739065e-05,7.520396320614964e-05
plunger,wood,pos,1.641889502934646e-05,7.520396320614964e-05
toothpick,wood,pos,2.1169598767301068e-05,7.520396320614964e-05
scabbard,wood,neg,3.213064337614924e-05,7.520396320614964e-05
rake,wood,pos,5.8597830502549186e-05,7.520396320614964e-05
chair,wood,pos,9.748851152835414e-05,7.520396320614964e-05
