concept,prop_s,label,prob,prob_control
cylinder,rolled,pos,1.8385092337425135e-09,1.1526358889568655e-07
spindle,rolled,pos,3.3072538041523103e-09,1.1526358889568655e-07
rifling,rolled,pos,1.4194180553150915e-10,1.1526358889568655e-07
bead,rolled,pos,1.2820505546073946e-08,1.1526358889568655e-07
grip,rolled,pos,6.149287745671472e-09,1.1526358889568655e-07
blade,rolled,neg,1.2634889579032915e-08,1.1526358889568655e-07
eyelet,rolled,pos,5.717052387055332e-10,1.1526358889568655e-07
propeller,rolled,pos,4.5731146647298715e-10,1.1526358889568655e-07
roller,rolled,pos,1.8641228838323087e-10,1.1526358889568655e-07
windowpane,rolled,neg,2.9384727984194114e-09,1.1526358889568655e-07
lever,rolled,pos,2.459519521380571e-07,1.1526358889568655e-07
bearing,rolled,pos,1.5417851884080847e-08,1.1526358889568655e-07
handlebar,rolled,neg,4.079875548512746e-09,1.1526358889568655e-07
lathe,rolled,pos,4.6495969741044973e-08,1.1526358889568655e-07
backboard,rolled,neg,2.476265414941281e-09,1.1526358889568655e-07
flywheel,rolled,pos,5.722871065927393e-09,1.1526358889568655e-07
brick,rolled,neg,1.9196619405192905e-07,1.1526358889568655e-07
footrest,rolled,pos,1.3837360590684966e-08,1.1526358889568655e-07
pencil,rolled,neg,2.173096333990543e-07,1.1526358889568655e-07
marble,rolled,pos,5.8710676320572475e-09,1.1526358889568655e-07
cart,rolled,pos,1.3346061678021215e-06,1.1526358889568655e-07
pig,rolled,pos,8.641995208336084e-08,1.1526358889568655e-07
nozzle,rolled,pos,3.0496608016683524e-10,1.1526358889568655e-07
tub,rolled,pos,2.674677261893521e-07,1.1526358889568655e-07
paint,rolled,pos,3.7273504283064085e-09,1.1526358889568655e-07
car,rolled,pos,7.091935039227337e-09,1.1526358889568655e-07
hammer,rolled,neg,1.245044245479221e-08,1.1526358889568655e-07
headstock,rolled,neg,1.383024361700791e-09,1.1526358889568655e-07
candle,rolled,pos,7.38532435207162e-08,1.1526358889568655e-07
windscreen,rolled,pos,8.418780117480651e-10,1.1526358889568655e-07
wiffle,rolled,pos,1.155960743792761e-10,1.1526358889568655e-07
polyurethane,rolled,neg,5.605656910878665e-11,1.1526358889568655e-07
