concept,prop_s,label,prob,prob_control
woodpecker,black,pos,7.941538342493004e-07,4.0481495489075314e-07
millipede,black,pos,3.214093169390253e-07,4.0481495489075314e-07
peacock,black,neg,1.0067635258792507e-07,4.0481495489075314e-07
dogbane,black,neg,2.6172153866355075e-06,4.0481495489075314e-07
sand,black,neg,6.455369998548122e-07,4.0481495489075314e-07
dress,black,pos,4.672704562835861e-06,4.0481495489075314e-07
sapsucker,black,pos,1.8665231493741885e-07,4.0481495489075314e-07
snake,black,pos,2.694033298666909e-07,4.0481495489075314e-07
tar,black,pos,8.905862159735989e-06,4.0481495489075314e-07
hair,black,pos,4.701684247265803e-06,4.0481495489075314e-07
radish,black,neg,8.735125902603613e-07,4.0481495489075314e-07
gown,black,pos,6.9182242441456765e-06,4.0481495489075314e-07
recorder,black,pos,1.272782554906371e-07,4.0481495489075314e-07
tyre,black,pos,2.2712077907272032e-07,4.0481495489075314e-07
combretum,black,neg,2.1405408006103244e-06,4.0481495489075314e-07
weed,black,neg,5.543505210425792e-08,4.0481495489075314e-07
acaridae,black,pos,4.951255050400505e-06,4.0481495489075314e-07
pupil,black,pos,9.41241523833014e-06,4.0481495489075314e-07
fox,black,neg,1.254994401733711e-07,4.0481495489075314e-07
pit,black,pos,4.1656090843389393e-07,4.0481495489075314e-07
currawong,black,pos,1.789024167919706e-06,4.0481495489075314e-07
glass,black,pos,1.4941857671146863e-06,4.0481495489075314e-07
rat,black,pos,4.2738406591524836e-07,4.0481495489075314e-07
supermarket,black,neg,5.072579511988806e-08,4.0481495489075314e-07
cloud,black,pos,2.1812294903611473e-07,4.0481495489075314e-07
balloon,black,pos,3.15985516863293e-07,4.0481495489075314e-07
market,black,pos,7.476885599544403e-08,4.0481495489075314e-07
heart,black,neg,4.0990036609400704e-07,4.0481495489075314e-07
dolphin,black,neg,2.810262742514169e-07,4.0481495489075314e-07
weasel,black,pos,2.314909579581581e-07,4.0481495489075314e-07
frog,black,neg,3.8542168567801127e-07,4.0481495489075314e-07
cherry,black,pos,9.527947781862167e-07,4.0481495489075314e-07
avocado,black,neg,3.9929628314894217e-07,4.0481495489075314e-07
night,black,pos,7.008084139670245e-07,4.0481495489075314e-07
lime,black,neg,5.942475809206371e-07,4.0481495489075314e-07
coatis,black,pos,9.590211448085029e-06,4.0481495489075314e-07
beetle,black,pos,2.3310180949920323e-06,4.0481495489075314e-07
human,black,pos,2.11834787933185e-07,4.0481495489075314e-07
onion,black,neg,6.777419230274973e-07,4.0481495489075314e-07
opossum,black,pos,2.4808980469970265e-07,4.0481495489075314e-07
football,black,pos,1.2856220088508508e-08,4.0481495489075314e-07
suit,black,pos,1.6184274753694439e-10,4.0481495489075314e-07
miner,black,pos,4.1522193328091817e-07,4.0481495489075314e-07
rice,black,neg,4.519071978847933e-07,4.0481495489075314e-07
pig,black,pos,3.9016202890707063e-07,4.0481495489075314e-07
cat,black,pos,4.4253076225686527e-07,4.0481495489075314e-07
fir,black,neg,1.663165562604263e-06,4.0481495489075314e-07
echinocereus,black,neg,3.0588998924940825e-06,4.0481495489075314e-07
honey,black,neg,2.340712796922162e-07,4.0481495489075314e-07
