concept,prop_s,label,prob,prob_control
cylinder,rolled,pos,8.61516227246284e-08,4.483237717067823e-06
spindle,rolled,pos,1.1480532435825808e-07,4.483237717067823e-06
rifling,rolled,pos,2.2517905762242663e-08,4.483237717067823e-06
bead,rolled,pos,4.965139623891446e-07,4.483237717067823e-06
grip,rolled,pos,1.2497866919147782e-07,4.483237717067823e-06
blade,rolled,neg,7.867846534281853e-07,4.483237717067823e-06
eyelet,rolled,pos,4.0531264744458895e-07,4.483237717067823e-06
propeller,rolled,pos,4.726386393372195e-09,4.483237717067823e-06
roller,rolled,pos,8.439874932264502e-08,4.483237717067823e-06
windowpane,rolled,neg,9.903844855330135e-09,4.483237717067823e-06
lever,rolled,pos,2.6443103706697e-07,4.483237717067823e-06
bearing,rolled,pos,1.9583180232984887e-07,4.483237717067823e-06
handlebar,rolled,neg,1.0388221483026427e-07,4.483237717067823e-06
lathe,rolled,pos,4.79518753593311e-08,4.483237717067823e-06
backboard,rolled,neg,2.0206081785545393e-07,4.483237717067823e-06
flywheel,rolled,pos,3.25818021451596e-08,4.483237717067823e-06
brick,rolled,neg,4.988525006410782e-07,4.483237717067823e-06
footrest,rolled,pos,5.667733304903777e-08,4.483237717067823e-06
pencil,rolled,neg,5.863672640771256e-07,4.483237717067823e-06
marble,rolled,pos,5.6390913272252874e-08,4.483237717067823e-06
cart,rolled,pos,4.257193211287813e-07,4.483237717067823e-06
pig,rolled,pos,4.5396831183097675e-07,4.483237717067823e-06
nozzle,rolled,pos,1.2139436478264543e-07,4.483237717067823e-06
tub,rolled,pos,6.6097305762014e-07,4.483237717067823e-06
paint,rolled,pos,8.711492860413728e-09,4.483237717067823e-06
car,rolled,pos,1.647694176654113e-07,4.483237717067823e-06
hammer,rolled,neg,2.56350205063427e-07,4.483237717067823e-06
headstock,rolled,neg,1.6298949390147754e-07,4.483237717067823e-06
candle,rolled,pos,1.928072379087098e-06,4.483237717067823e-06
windscreen,rolled,pos,3.991735830766174e-09,4.483237717067823e-06
wiffle,rolled,pos,2.092560125177556e-09,4.483237717067823e-06
polyurethane,rolled,neg,6.667386287517729e-08,4.483237717067823e-06
kiln,rolled,neg,3.9259356299226056e-07,4.483237717067823e-06
quoit,rolled,pos,7.281344096554676e-07,4.483237717067823e-06
tile,rolled,neg,1.0293159391494555e-07,4.483237717067823e-06
headboard,rolled,neg,6.393140949967346e-08,4.483237717067823e-06
wagon,rolled,pos,1.1451184889210708e-07,4.483237717067823e-06
plunger,rolled,neg,4.9282895986380026e-08,4.483237717067823e-06
rail,rolled,pos,2.4214759974938715e-08,4.483237717067823e-06
wheelbarrow,rolled,pos,5.0191172107361126e-08,4.483237717067823e-06
mandrel,rolled,pos,1.4295199690650406e-08,4.483237717067823e-06
shovel,rolled,neg,7.62981017032871e-07,4.483237717067823e-06
gearshift,rolled,neg,1.7181307043756533e-08,4.483237717067823e-06
donkey,rolled,neg,1.3616537231087023e-08,4.483237717067823e-06
projectile,rolled,neg,2.9133174095363756e-08,4.483237717067823e-06
leather,rolled,neg,2.7309965844324324e-07,4.483237717067823e-06
acrylic,rolled,neg,3.379014401616587e-08,4.483237717067823e-06
ski,rolled,neg,3.320882413504478e-08,4.483237717067823e-06
washer,rolled,pos,8.355165448392654e-08,4.483237717067823e-06
plastic,rolled,pos,3.419852490083031e-08,4.483237717067823e-06
saw,rolled,pos,1.1309857939068024e-07,4.483237717067823e-06
breechblock,rolled,neg,4.887670002062805e-07,4.483237717067823e-06
pipe,rolled,pos,7.780207056384825e-07,4.483237717067823e-06
millstone,rolled,pos,6.05226944117021e-08,4.483237717067823e-06
shaft,rolled,pos,5.697294795936614e-07,4.483237717067823e-06
dowel,rolled,pos,8.891078095984994e-08,4.483237717067823e-06
bolt,rolled,pos,1.8358306874688424e-07,4.483237717067823e-06
bumper,rolled,neg,1.6932342816744494e-07,4.483237717067823e-06
