concept,prop_s,label,prob,prob_control
bracelet,square,neg,2.716144251735386e-07,2.220649690798382e-07
photocopier,square,pos,4.079138093970869e-08,2.220649690798382e-07
hardware,square,pos,6.689142573179652e-09,2.220649690798382e-07
computer,square,pos,1.4013954441338683e-08,2.220649690798382e-07
tart,square,pos,5.6509147583483355e-08,2.220649690798382e-07
floppy,square,pos,1.0578413878192805e-07,2.220649690798382e-07
file,square,pos,1.199511956428978e-08,2.220649690798382e-07
snack,square,pos,8.378847837775538e-09,2.220649690798382e-07
mainframe,square,pos,4.050399127208948e-08,2.220649690798382e-07
pantry,square,pos,3.4728349085355603e-09,2.220649690798382e-07
tortilla,square,neg,2.1976107689170021e-07,2.220649690798382e-07
barrel,square,neg,4.413026832850164e-09,2.220649690798382e-07
bookmark,square,pos,2.5822213700621433e-08,2.220649690798382e-07
disk,square,neg,9.163946401713474e-08,2.220649690798382e-07
restroom,square,pos,2.718140157398352e-09,2.220649690798382e-07
typewriter,square,pos,1.8551618552464788e-07,2.220649690798382e-07
gameboard,square,pos,3.809369957252784e-07,2.220649690798382e-07
workroom,square,pos,5.2001301042992054e-08,2.220649690798382e-07
shelf,square,pos,1.6968546390216943e-07,2.220649690798382e-07
card,square,pos,3.3663980048004305e-08,2.220649690798382e-07
bookshelf,square,pos,9.743515505533651e-08,2.220649690798382e-07
desk,square,pos,4.914336386718787e-07,2.220649690798382e-07
washroom,square,pos,2.03214245431127e-09,2.220649690798382e-07
luggage,square,pos,7.416887992661714e-09,2.220649690798382e-07
locker,square,pos,2.7037584615641208e-08,2.220649690798382e-07
screen,square,pos,4.234515849077525e-09,2.220649690798382e-07
doorbell,square,pos,2.798492326760993e-09,2.220649690798382e-07
countertop,square,pos,3.45663210055136e-07,2.220649690798382e-07
window,square,pos,6.355785897582678e-10,2.220649690798382e-07
kitchenette,square,pos,1.1711647118772817e-07,2.220649690798382e-07
bedroom,square,pos,2.3917490210578762e-08,2.220649690798382e-07
notebook,square,pos,1.1029919733118732e-07,2.220649690798382e-07
subdirectory,square,neg,4.0360770725555994e-08,2.220649690798382e-07
room,square,pos,6.666783747277805e-08,2.220649690798382e-07
console,square,pos,5.830672833440076e-08,2.220649690798382e-07
egg,square,neg,8.89771527567973e-08,2.220649690798382e-07
desktop,square,pos,5.81534775889736e-09,2.220649690798382e-07
cupboard,square,pos,3.751759436454449e-08,2.220649690798382e-07
diskette,square,pos,3.0006592766085305e-08,2.220649690798382e-07
keypad,square,pos,1.0784797410678948e-07,2.220649690798382e-07
mug,square,neg,3.9881308566691587e-07,2.220649690798382e-07
classroom,square,pos,4.22684038881016e-08,2.220649690798382e-07
floor,square,pos,1.1514092079778493e-07,2.220649690798382e-07
ball,square,neg,7.263549406388847e-08,2.220649690798382e-07
