concept,prop_s,label,prob,prob_control
radish,yellow,neg,2.365358568567899e-06,1.1321695581045788e-07
boot,yellow,neg,1.522922943308913e-08,1.1321695581045788e-07
huckleberry,yellow,neg,1.3190558547648834e-06,1.1321695581045788e-07
piano,yellow,neg,2.0280229051650167e-08,1.1321695581045788e-07
grape,yellow,neg,8.550058510081726e-07,1.1321695581045788e-07
bean,yellow,neg,1.8259480611959589e-06,1.1321695581045788e-07
chocolate,yellow,neg,8.068933965432734e-08,1.1321695581045788e-07
salad,yellow,neg,2.1489025670007322e-08,1.1321695581045788e-07
brick,yellow,neg,1.5945407767503639e-06,1.1321695581045788e-07
herb,yellow,neg,3.3554263723090116e-07,1.1321695581045788e-07
lime,yellow,neg,3.2390018986916402e-06,1.1321695581045788e-07
bee,yellow,pos,3.9886046465653635e-07,1.1321695581045788e-07
daffodil,yellow,pos,3.90556306228973e-06,1.1321695581045788e-07
car,yellow,neg,3.2934730143097113e-07,1.1321695581045788e-07
cheetah,yellow,pos,1.562903833018936e-07,1.1321695581045788e-07
berry,yellow,neg,1.1096095477114432e-05,1.1321695581045788e-07
clarinet,yellow,neg,4.884302029495302e-07,1.1321695581045788e-07
frog,yellow,neg,3.363093128427863e-07,1.1321695581045788e-07
emerald,yellow,neg,4.558714408631204e-06,1.1321695581045788e-07
serviceberry,yellow,neg,2.9856423111596087e-07,1.1321695581045788e-07
cricket,yellow,neg,8.925803984816127e-10,1.1321695581045788e-07
walnut,yellow,neg,2.754862634901656e-06,1.1321695581045788e-07
bus,yellow,pos,1.0336431444102345e-07,1.1321695581045788e-07
cactus,yellow,neg,8.899195904632506e-07,1.1321695581045788e-07
orange,yellow,neg,5.895662980037741e-06,1.1321695581045788e-07
peacock,yellow,neg,6.393131712911782e-08,1.1321695581045788e-07
crassula,yellow,neg,2.2198044007382123e-06,1.1321695581045788e-07
orchid,yellow,pos,9.907870435199584e-07,1.1321695581045788e-07
water,yellow,neg,6.22346405521057e-08,1.1321695581045788e-07
fir,yellow,neg,5.662716944243584e-07,1.1321695581045788e-07
pansy,yellow,pos,6.830643428656913e-08,1.1321695581045788e-07
bottle,yellow,neg,7.185743555737645e-08,1.1321695581045788e-07
flower,yellow,pos,6.012322955939453e-06,1.1321695581045788e-07
gherkin,yellow,neg,1.929341379991456e-07,1.1321695581045788e-07
photinia,yellow,neg,1.596460151631618e-06,1.1321695581045788e-07
lobster,yellow,neg,7.433328619299573e-08,1.1321695581045788e-07
cream,yellow,neg,3.8580942884891556e-08,1.1321695581045788e-07
thundercloud,yellow,neg,3.064601017399582e-08,1.1321695581045788e-07
corn,yellow,pos,3.1308252346207155e-07,1.1321695581045788e-07
lemonade,yellow,pos,2.7676753688865574e-07,1.1321695581045788e-07
seaweed,yellow,neg,2.3371665065496927e-06,1.1321695581045788e-07
allspice,yellow,neg,3.6631976740864047e-07,1.1321695581045788e-07
eucalyptus,yellow,neg,4.856037321587792e-06,1.1321695581045788e-07
jade,yellow,neg,1.6001378071450745e-06,1.1321695581045788e-07
night,yellow,neg,1.5576883116708018e-09,1.1321695581045788e-07
mustard,yellow,pos,4.913464977107651e-07,1.1321695581045788e-07
plum,yellow,pos,4.870019893132849e-06,1.1321695581045788e-07
cherry,yellow,neg,2.4669898834872583e-07,1.1321695581045788e-07
spinach,yellow,neg,2.3872610199759947e-07,1.1321695581045788e-07
herring,yellow,neg,5.452814093587222e-07,1.1321695581045788e-07
cannon,yellow,neg,1.6483301124026184e-07,1.1321695581045788e-07
calf,yellow,neg,4.8160956112042186e-08,1.1321695581045788e-07
lemon,yellow,pos,2.8401004783518147e-06,1.1321695581045788e-07
apple,yellow,pos,6.105675538492505e-07,1.1321695581045788e-07
lavandula,yellow,neg,5.58620604351745e-06,1.1321695581045788e-07
buttercup,yellow,pos,5.17890100582008e-07,1.1321695581045788e-07
